規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,152.2,135.9,16.3,13.7,88,85,3
100～499人,18.3,153.9,139.4,14.5,14.7,93.6,90,3.6
100人以上,18.2,153.1,137.8,15.3,14.3,91.6,88.2,3.4
30～99人,18.5,153.7,141.9,11.8,13.5,78.7,75.2,3.5
５～29人,19.1,155.1,145.4,9.7,13.5,80.5,78.1,2.4
30人以上,18.3,153.3,139.2,14.1,13.9,84.6,81.1,3.5
５人以上,18.5,153.9,140.9,13,13.7,82.5,79.6,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
