規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.8,172,156.1,15.9,14.5,91.4,89,2.4
100～499人,20.7,172.6,156.8,15.8,15.2,97,93.7,3.3
100人以上,20.7,172.3,156.5,15.8,14.9,95,92,3
30～99人,20.8,171.7,159.2,12.5,14.2,80.4,77.1,3.3
５～29人,21.1,170.8,160.9,9.9,14.3,88.1,85.2,2.9
30人以上,20.8,172.2,157.4,14.8,14.5,87,83.9,3.1
５人以上,20.9,171.8,158.3,13.5,14.4,87.5,84.5,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
