規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.7,17.6,150.4,155.9,139.3,135.9,140.1,127.4,14.5,15.8,11.9
100～499人,18.4,18.9,17.7,151.3,158.7,138.6,136.7,142.1,127.6,14.6,16.6,11
100人以上,18.4,18.8,17.7,150.9,157.5,138.9,136.4,141.2,127.5,14.5,16.3,11.4
30～99人,18.1,18.9,16.9,141.7,153.8,123.7,131.4,141.2,116.9,10.3,12.6,6.8
５～29人,18.1,19.2,16.8,137.5,154.2,117.2,129.8,144,112.6,7.7,10.2,4.6
30人以上,18.3,18.8,17.4,147.6,156.2,132.7,134.6,141.2,123.2,13,15,9.5
５人以上,18.2,19,17.1,144.4,155.6,127.1,133.1,142,119.4,11.3,13.6,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
