規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,480446,554105,329328,452642,523213,307861,414392,38250,27804,30892,21467
100～499人,401056,463548,285865,370281,430923,258499,340441,29840,30775,32625,27366
100人以上,435771,503957,304117,406295,472105,279229,372778,33517,29476,31852,24888
30～99人,345062,419085,237627,321749,390856,221449,302521,19228,23313,28229,16178
５～29人,266501,339378,178268,255398,324787,171388,243699,11699,11103,14591,6880
30人以上,402451,474857,276874,375239,444247,255555,346971,28268,27212,30610,21319
５人以上,359238,435987,240822,337146,409973,224782,314144,23002,22092,26014,16040
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
