事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業／入職率(％),鉱業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業／入職率(％),運輸業／離職率(％),卸売・小売業／入職率(％),卸売・小売業／離職率(％),金融・保険業／入職率(％),金融・保険業／離職率(％),不動産業／入職率(％),不動産業／離職率(％),飲食店・宿泊業／入職率(％),飲食店・宿泊業／離職率(％),医療・福祉／入職率(％),医療・福祉／離職率(％),教育・学習支援業／入職率(％),教育・学習支援業／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成17,2005,年平均,r2.14,r2.13,r2.18,r1.95,r1.45,r1.22,r1.48,r1.57,r1.64,r1.01,r2.60,r2.11,r1.51,r1.52,r2.02,r1.94,r1.95,r2.08,r2.24,r2.01,r3.73,r4.32,r2.30,r2.65,r2.18,r2.32,r2.17,r1.87,r2.21,r2.07
５人以上,平成18,2006,年平均,r2.22,r2.09,r1.84,r1.76,r1.53,r1.33,r1.41,r1.41,r0.82,r0.92,r2.13,r2.04,r1.68,r1.72,r2.26,r1.97,r2.24,r2.01,r1.52,r1.59,r4.49,r4.42,r2.17,r2.16,r2.23,r2.25,r2.44,r2.12,r2.30,r2.13
５人以上,平成19,2007,年平均,2.26,2.13,1.44,1.71,1.45,1.48,1.36,1.33,1.84,1.86,1.69,1.61,1.87,1.72,2.14,2.09,2.46,1.99,2.25,2.14,4.67,4.29,2.66,2.58,2.25,2.01,1.76,2.13,2.46,2.29
５人以上,平成20,2008,年平均,2.22,2.05,1.52,1.17,1.55,1.34,1.26,1.28,2.49,1.55,1.61,1.36,1.8,1.81,2.26,1.94,1.99,1.92,2.25,2.33,4.51,4.27,2.5,2.31,2.53,2.39,1.27,1.36,2.39,2.27
５人以上,平成21,2009,年平均,2.18,2.16,1.83,1.64,1.3,1.18,1.46,1.6,2,1.69,1.36,1.31,2.08,1.86,2.12,2.05,2.14,1.94,2,2.01,4.39,4.19,2.6,2.39,2.34,2.29,1.4,1.49,2.2,2.45
５人以上,平成21,2009,1月,1.48,1.58,0.65,1.26,0.82,0.88,0.64,0.89,1.72,0.79,0.5,0.79,0.9,1.51,1.2,1.51,1.65,1.3,1.63,1.54,4.53,3.43,2.5,1.9,0.56,0.5,0.19,0.32,1.58,2.15
５人以上,平成21,2009,2月,1.54,1.74,0.51,0.66,0.52,0.71,0.53,1.3,0.22,0.53,1.01,0.61,1.54,1.43,2.03,1.78,1.3,1.13,1.61,1.9,3.03,4.62,1.49,2.39,0.73,0.81,0.1,1.25,1.8,1.76
５人以上,平成21,2009,3月,2.04,2.46,0.91,1.47,0.94,1.26,1,1.36,0.85,0.74,1.24,1.24,2.3,1.84,2.32,2.71,1.36,1.86,1.82,2.14,4.12,4.22,2.83,2.52,1.55,2.32,2.46,3.82,2.04,3.3
５人以上,平成21,2009,4月,6.67,4.8,7.9,3.06,5.82,3.49,6.02,3.31,7.44,4.85,6.94,2.29,5.38,2.97,5.07,4.07,9.19,4.36,4.63,4.01,8.56,6.28,8.48,5.79,12.11,14.12,6.27,3.23,5.59,5.13
５人以上,平成21,2009,5月,2.09,2.69,1.36,0.39,1.09,1.3,1.43,2.06,0.9,1.57,0.6,2.9,1.83,1.78,1.93,2.17,1.53,1.91,2.39,2.16,5.43,6.46,2.42,2.59,2.09,1.86,0.83,0.71,2.36,3.06
５人以上,平成21,2009,6月,1.91,2.05,1.59,2.7,0.8,1.02,1.01,1.79,0.42,0.67,1.17,1.42,1.81,2.21,1.8,1.83,0.88,2.84,3.1,2.91,5.6,3.4,2.31,2.02,1.69,1.36,0.58,0.32,1.73,2.42
５人以上,平成21,2009,7月,1.97,1.99,2.39,1.9,1.55,0.94,1.32,1.82,9.53,8,1.47,1.51,1.94,1.9,1.7,1.72,1.87,2.08,1.59,1.78,4.43,2.95,1.7,2.1,1.51,0.58,0.94,2.09,2.03,2.69
５人以上,平成21,2009,8月,1.59,1.83,1.55,2.33,0.66,1.16,0.73,1.36,0.4,0.46,0.66,0.87,1.15,1.79,1.98,2.01,1.27,1.29,0.91,2.15,3.35,4.11,2.54,2.02,0.92,1.16,0.12,0.3,1.75,1.83
５人以上,平成21,2009,9月,1.65,1.69,0.88,0.93,0.77,0.82,0.88,1.26,0.61,0.58,0.92,1,1.51,1.18,1.59,1.38,1.11,1.53,1.3,1.4,3.36,4.11,1.8,1.83,1.49,1.67,0.23,1.13,2.26,1.96
５人以上,平成21,2009,10月,2.03,2.29,1.91,1.37,0.91,0.9,1.76,2.04,1.36,1,0.91,1.11,1.77,2.93,2.22,2.58,2.81,2.46,2.37,1.66,3.68,5.48,1.72,1.49,2.58,1.47,1.11,0.57,1.9,2.09
５人以上,平成21,2009,11月,1.91,1.43,1.17,1.99,1,0.84,1.48,1.06,0.27,0.41,0.45,1,2.13,1.6,2.51,1.49,1.54,0.91,1.54,0.82,3.67,2.89,1.64,1.53,1.7,1.2,3.09,0.1,1.91,1.54
５人以上,平成21,2009,12月,1.32,1.4,1.13,1.57,0.66,0.89,0.66,0.96,0.25,0.68,0.39,0.92,2.73,1.14,1.11,1.32,1.18,1.65,1.05,1.67,2.92,2.32,1.72,2.44,1.18,0.45,0.92,4.08,1.43,1.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成21年確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１２－１表　産業別労働異動率（事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位：%) 平成19年から小数点以下第2位まで表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
