規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.7,162.5,149.1,13.4,13.9,83.5,80.5,3
５人以上,鉱業,18.1,142.4,131.1,11.3,6.8,37.9,37.2,0.7
５人以上,建設業,20.8,174.2,159.3,14.9,16.2,104.2,102.3,1.9
５人以上,製造業,19.8,164,153,11,17.6,123.9,115.5,8.4
５人以上,電気・ガス・熱供給・水道業,18.3,158.2,138.1,20.1,15.8,109.9,109.8,0.1
５人以上,情報通信業,18.9,163.8,142.2,21.6,15.3,94.3,92,2.3
５人以上,運輸業,20.4,178,155.9,22.1,16.3,109.9,98.1,11.8
５人以上,卸売・小売業,20.1,160.6,151.4,9.2,14.9,89.7,87.4,2.3
５人以上,金融・保険業,18.6,155.2,139.4,15.8,15.2,101.7,97.9,3.8
５人以上,不動産業,20.4,166.9,153.6,13.3,17.6,96.3,94.1,2.2
５人以上,"飲食店,宿泊業",21.1,173.7,163.8,9.9,13,76.7,73.5,3.2
５人以上,"医療,福祉",19.4,155.6,147.5,8.1,12.8,71.1,69.7,1.4
５人以上,"教育,学習支援業",19,143.9,138.4,5.5,9.7,52.1,50.9,1.2
５人以上,複合サービス事業,18.9,160.4,146.6,13.8,14.8,96.9,93.9,3
５人以上,サービス業（他に分類されないもの）,19.5,161.6,147.3,14.3,14.7,91.7,89,2.7
30人以上,調査産業計,19.3,160.3,145.7,14.6,14,85.2,81.7,3.5
30人以上,鉱業,18.1,142.4,131.1,11.3,6.8,37.9,37.2,0.7
30人以上,建設業,20.1,171.9,153.7,18.2,17.1,120.9,118.2,2.7
30人以上,製造業,19.5,162.9,150.9,12,18.1,136.8,124,12.8
30人以上,電気・ガス・熱供給・水道業,18,156.9,135.4,21.5,15.4,107.3,107.2,0.1
30人以上,情報通信業,18.7,162.2,140.2,22,16,99.1,96.3,2.8
30人以上,運輸業,20.3,176.1,154.1,22,15.6,114.2,101.8,12.4
30人以上,卸売・小売業,19.5,157,147.1,9.9,16,98.4,94.8,3.6
30人以上,金融・保険業,18.6,156.1,139.6,16.5,14.8,97.3,94.5,2.8
30人以上,不動産業,20.3,167.6,151.3,16.3,18.3,100.1,97.6,2.5
30人以上,"飲食店,宿泊業",20.7,172.3,160.7,11.6,12.9,74.2,71.3,2.9
30人以上,"医療,福祉",19,153.7,144.7,9,12.6,70.3,68.8,1.5
30人以上,"教育,学習支援業",18.8,141.6,136.6,5,9.2,47.8,46.7,1.1
30人以上,複合サービス事業,19.5,164.6,150.2,14.4,14.9,100.4,96.9,3.5
30人以上,サービス業（他に分類されないもの）,19.2,159,143.7,15.3,14.7,89,86,3
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
