規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.2,17.2,147.3,152.9,136.2,133.5,137.5,125.5,13.8,15.4,10.7
100～499人,18.3,18.6,17.7,149.5,156.5,137.3,135.9,140.9,127.2,13.6,15.6,10.1
100人以上,18.1,18.4,17.5,148.5,154.8,136.8,134.8,139.3,126.5,13.7,15.5,10.3
30～99人,17.9,18.8,16.5,139.8,152.9,120,130.1,140.7,114.1,9.7,12.2,5.9
５～29人,18.2,19.2,16.9,137.5,153.1,117.9,130.3,143.6,113.7,7.2,9.5,4.2
30人以上,18,18.5,17.1,145.3,154.2,130.2,133.1,139.8,121.6,12.2,14.4,8.6
５人以上,18.1,18.7,17,142.8,153.9,125.7,132.2,140.9,118.7,10.6,13,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
