事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成17,2005,年平均,18.9,19.7,17.8,145.1,158.6,126.8,137.2,148.6,121.8,7.9,10,5
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成21,2009,年平均,18.1,19.1,16.7,137,153.8,116.5,129.4,143.7,112,7.6,10.1,4.5
５～29人,平成21,2009,1月,16.5,17.5,15.3,125.8,142.2,106.1,118.1,131.9,101.4,7.7,10.3,4.7
５～29人,平成21,2009,2月,18,19.3,16.5,137.2,156,114.5,129.1,145.1,109.8,8.1,10.9,4.7
５～29人,平成21,2009,3月,18,19,16.7,136.3,154,115,128.3,143.3,110.2,8,10.7,4.8
５～29人,平成21,2009,4月,18.8,20,17.4,143.6,161.9,121.5,135.4,151,116.5,8.2,10.9,5
５～29人,平成21,2009,5月,17.2,18.2,16.1,130.3,145.7,111.7,123,136.1,107.2,7.3,9.6,4.5
５～29人,平成21,2009,6月,18.9,20,17.6,142.4,160.2,120.9,135,150.3,116.5,7.4,9.9,4.4
５～29人,平成21,2009,7月,18.8,19.9,17.5,142.6,159,122.5,135.1,149,118,7.5,10,4.5
５～29人,平成21,2009,8月,17.9,19,16.6,136,152.2,115.8,128.9,142.7,111.6,7.1,9.5,4.2
５～29人,平成21,2009,9月,18.2,19.2,16.9,137.5,153.1,117.9,130.3,143.6,113.7,7.2,9.5,4.2
５～29人,平成21,2009,10月,17.9,18.8,16.7,135.5,151,116.4,128.2,141.3,112.1,7.3,9.7,4.3
５～29人,平成21,2009,11月,18.4,19.5,17,139.2,156,118.6,131.7,145.9,114.2,7.5,10.1,4.4
５～29人,平成21,2009,12月,18.1,19.2,16.8,137.5,154.2,117.2,129.8,144,112.6,7.7,10.2,4.6
