規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.5,19.9,18.8,159.5,165.3,147.5,144.6,148.7,136.2,14.9,16.6,11.3
100～499人,19.5,20,18.7,157.8,165.7,143.3,144.7,150.7,133.6,13.1,15,9.7
100人以上,19.5,19.9,18.7,158.5,165.5,145.1,144.6,149.8,134.7,13.9,15.7,10.4
30～99人,19.2,20.1,18,149.2,161.8,131.2,139.9,150.5,124.7,9.3,11.3,6.5
５～29人,18.9,20,17.6,142.4,160.2,120.9,135,150.3,116.5,7.4,9.9,4.4
30人以上,19.4,20,18.4,155.1,164.2,139.4,142.9,150,130.6,12.2,14.2,8.8
５人以上,19.3,20,18.1,151.1,163.1,132.7,140.4,150.1,125.5,10.7,13,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
