規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5399464,49970,65174,5385003,1539655,52602,44316,1547198
５人以上,鉱業,1974,13,25,1962,14,0,0,14
５人以上,建設業,304511,2608,2614,304505,15516,14,218,15312
５人以上,製造業,661020,3481,5182,659398,50792,1064,1165,50612
５人以上,電気・ガス・熱供給・水道業,32496,547,237,32806,902,26,26,902
５人以上,情報通信業,683936,3177,5321,682408,31681,433,328,31170
５人以上,運輸業,312893,2685,2472,313108,47026,540,2953,44611
５人以上,卸売・小売業,1047348,5932,10602,1043057,434001,11856,11817,433661
５人以上,金融・保険業,338069,3879,4337,337612,18942,1999,301,20639
５人以上,不動産業,109450,1686,1558,109578,19544,416,423,19537
５人以上,"飲食店,宿泊業",205671,8022,4217,209477,393819,19156,16375,396599
５人以上,"医療,福祉",341576,3395,5744,339087,153076,8961,3645,158532
５人以上,"教育,学習支援業",259741,1069,1077,259734,122166,1086,850,122401
５人以上,複合サービス事業,46219,65,129,46156,12381,46,61,12365
５人以上,サービス業（他に分類されないもの）,1054560,13411,21659,1046115,239795,7005,6154,240843
30人以上,調査産業計,3933220,28979,42996,3919069,797475,23625,17137,804097
30人以上,鉱業,1974,13,25,1962,14,0,0,14
30人以上,建設業,184073,1384,881,184576,9214,14,157,9071
30人以上,製造業,503093,2384,3584,501891,26912,637,810,26741
30人以上,電気・ガス・熱供給・水道業,29864,503,165,30202,417,26,26,417
30人以上,情報通信業,591883,2713,3787,590809,23460,300,168,23592
30人以上,運輸業,250804,1409,2058,250156,35463,247,2170,33539
30人以上,卸売・小売業,667977,3770,5644,666102,183095,3795,3922,182969
30人以上,金融・保険業,287869,3540,3657,287753,13569,1803,214,15157
30人以上,不動産業,67300,612,779,67134,13322,342,242,13421
30人以上,"飲食店,宿泊業",86263,822,962,86124,145676,3310,2092,146893
30人以上,"医療,福祉",249321,2073,3834,247560,90035,6988,2508,94515
30人以上,"教育,学習支援業",209770,203,241,209732,81056,799,629,81226
30人以上,複合サービス事業,34475,65,23,34518,9424,8,4,9427
30人以上,サービス業（他に分類されないもの）,768554,9488,17356,760550,165818,5356,4195,167115
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（確報）,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
