規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,451323,525493,303708,440278,512769,296006,402177,38101,11045,12724,7702
100～499人,382278,443459,268472,367625,427228,256755,337767,29858,14653,16231,11717
100人以上,412502,479837,283512,399429,465161,273509,365962,33467,13073,14676,10003
30～99人,334495,402851,233774,322461,389281,224003,304326,18135,12034,13570,9771
５～29人,256323,326926,171303,253392,322745,169877,241689,11703,2931,4181,1426
30人以上,383926,453362,263354,371233,439066,253445,343383,27850,12693,14296,9909
５人以上,343326,417124,229588,333739,405727,222791,311027,22712,9587,11397,6797
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
