規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.5,155.7,139.2,16.5,13.6,87.4,84.3,3.1
100～499人,18.9,158.2,142.2,16,14.1,90.2,86.4,3.8
100人以上,18.7,157.1,140.9,16.2,13.9,89.2,85.6,3.6
30～99人,19.3,157,145,12,13,75.9,72.9,3
５～29人,20.4,166.2,155.3,10.9,13.4,79.4,76.9,2.5
30人以上,18.9,157.1,142.3,14.8,13.5,82.5,79.2,3.3
５人以上,19.3,159.5,145.8,13.7,13.4,81,78.1,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
