規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,487821,567567,323740,443234,511669,302427,407394,35840,44587,55898,21313
100～499人,394431,465127,273332,365213,426862,259611,337911,27302,29218,38265,13721
100人以上,435643,511947,294102,399643,465623,277253,368573,31070,36000,46324,16849
30～99人,348197,429129,231293,313757,379719,218476,296876,16881,34440,49410,12817
５～29人,262895,330373,179842,254984,320056,174892,244417,10567,7911,10317,4950
30人以上,403620,483419,268796,368191,436032,253571,342317,25874,35429,47387,15225
５人以上,358983,439070,236861,332283,402425,225325,311264,21019,26700,36645,11536
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
