規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,99.8,－,99.6,98.4,96.2,98.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.2,-0.6,101.1,99.6,97.1,99,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.7,0.7,102.4,101.4,100.7,101.6,100.3,96.6,102.7,100.6,101.2,93.6,99.9,103.7,99.5,100.6
５人以上,平成19,2007,年平均,99.1,-1.6,99.5,100.5,102.5,99.9,99.5,94.7,100,100.1,101.6,89.6,103.9,97.6,95.3,99.2
５人以上,平成20,2008,年平均,97.4,-1.7,99.9,99.5,102.4,100.1,99.8,94.9,98,101.7,100,85.2,105.6,88,98.1,96.6
５人以上,平成20,2008,12月,95.4,-2.1,94.9,98,101,94.3,98.2,93,95.2,103.4,98.3,85.1,106,82.1,104,94.1
５人以上,平成21,2009,1月,90.1,0.6,93.5,88.6,93,95.9,93.3,89.2,90.8,96.4,93.8,82.8,98.5,78.6,92,89.2
５人以上,平成21,2009,2月,94.3,-3.8,92.8,98.1,101.9,96,95.2,94.6,96.1,94.2,97.8,80.1,102.1,84.9,89.6,94
５人以上,平成21,2009,3月,96.6,-1,98.5,98,100.3,103,100.2,93.5,97.6,101.6,101.7,83,105.2,86.1,96.5,97.3
５人以上,平成21,2009,4月,101.2,0.1,100.3,103.4,107.4,106.1,104.4,99,101.5,107.6,103.9,84.3,111.3,91.8,102.8,100.8
５人以上,平成21,2009,5月,91.7,-5,83.7,90,93.2,87.3,90.8,91.1,93.5,94.1,97.5,81.5,104.2,84.9,90.5,92.5
５人以上,平成21,2009,6月,100.9,-0.1,101.3,103.6,106.1,110,102.7,97.9,102.2,105.3,104.5,82.1,110.3,97.6,103.1,101.3
５人以上,平成21,2009,7月,102.3,0,103.3,105.2,106.7,110.7,106.7,97.9,102.8,109.4,105.2,86.2,113.1,90.4,101.2,103.1
５人以上,平成21,2009,8月,95.5,1,91.8,95.1,98.5,97.1,99.6,96.3,97.5,101.1,96.7,85.7,107.4,65.4,96.8,97.7
５人以上,平成21,2009,9月,95,-1.2,89.6,97.6,100.8,94.9,95.3,95.4,97.5,94.7,96.9,83.8,104.6,81.3,87.5,95.4
５人以上,平成21,2009,10月,96.7,-3.3,97.8,97.2,99.7,104.6,98.4,93.7,96.5,102.5,98.8,85.3,108.6,91.5,99.3,97.2
５人以上,平成21,2009,11月,96.7,0.8,90.8,100.3,103.9,95.8,95.9,95.7,98.3,97.5,99,84.8,107,86.9,95,96.3
５人以上,平成21,2009,12月,95.7,0.3,88.7,97.4,100.4,94.9,95.6,95.1,98.4,100.8,96.8,85.7,105.3,81.1,96.5,94.9
５人以上,平成21,2009,12月（対前年同月比（％））,－,－,-6.5,-0.6,-0.6,0.6,-2.6,2.3,3.4,-2.5,-1.5,0.7,-0.7,-1.2,-7.2,0.9
30人以上,平成15,2003,年平均,100.2,－,99.4,97.4,95.7,99,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.9,0.7,101.6,100,97.2,98.6,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.8,0.8,101.4,101.8,100.9,100.7,100.8,95.7,103.2,100.5,100.8,94,98.6,102.6,99,101.3
30人以上,平成19,2007,年平均,100,-0.8,98.5,102.5,103.8,99.9,100.8,93.8,100.6,100.5,101.4,93.3,105.7,97.9,92.9,99.1
30人以上,平成20,2008,年平均,98.5,-1.5,98.9,101.4,104.8,100.3,99.9,94.1,99.4,102.4,99.4,90.6,104.9,88.8,96.7,96.4
30人以上,平成20,2008,12月,96.2,-1.3,93.9,98.9,102.5,94.7,98.9,92.5,95.9,103.7,96.9,91.6,103.7,81.8,105.6,93
30人以上,平成21,2009,1月,91.9,0,92.6,91.9,96.7,95.7,93.9,89.2,94.2,96.8,92,84,99.3,79.7,91.6,89.2
30人以上,平成21,2009,2月,94.4,-4.1,91.9,97.1,103,94.9,94.2,93.2,97.3,94.4,93.7,81.7,99.3,85.1,88.3,92.6
30人以上,平成21,2009,3月,98,-1,97.5,99.1,102.6,102.4,100.6,92.9,101.2,101.9,99.5,83.7,103.4,87.4,94.4,96.8
30人以上,平成21,2009,4月,102.2,-0.2,99.3,104.1,109.8,105.5,105,98.1,103.6,108.3,102.3,83.7,109.3,92.2,101.9,99.5
30人以上,平成21,2009,5月,92.6,-5.5,82.8,91,95.5,85.6,91.1,90.6,95.2,94.7,96.8,81,103.9,85.7,89.2,92.1
30人以上,平成21,2009,6月,102.1,0.5,100.3,104.7,107.6,110.4,102.2,97.1,104.5,105.6,102.4,83.9,108,99.7,102.3,100.4
30人以上,平成21,2009,7月,104,-0.2,102.2,108.4,110.3,110.9,107.3,97.5,105.6,109.8,105.9,84.4,109.7,92.8,100.8,102.6
30人以上,平成21,2009,8月,96.3,0.3,90.9,95.6,100.6,97.1,100.1,96.5,99.1,101.9,97.5,83.5,104.9,64,98.4,96.6
30人以上,平成21,2009,9月,95.1,-1.9,88.7,96.5,101.9,94,95.1,95.3,98.6,95.3,95.5,82.9,100.6,80.8,86.3,93.6
30人以上,平成21,2009,10月,98.2,-3.5,96.8,98.4,102.3,103.9,98.8,93.4,99.5,102.9,97.6,84.5,106.7,93.9,98.8,96.6
30人以上,平成21,2009,11月,97,0.9,89.9,100.3,105.6,94.5,95.4,95.5,98.9,98,99.3,85.2,102.4,88.8,96.3,95
30人以上,平成21,2009,12月,96.1,-0.1,87.8,97.9,102.1,93.3,95.7,94.8,100.2,101.1,96.8,85.4,101.2,82,95,93.4
30人以上,平成21,2009,12月（対前年同月比（％））,－,－,-6.5,-1,-0.4,-1.5,-3.2,2.5,4.5,-2.5,-0.1,-6.8,-2.4,0.2,-10,0.4
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,,,,,,,,,,
第18表　労働時間指数（所定内労働時間）,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,
調査対象事業所の抽出替えに伴い、指数を平成21年１月分確報公表時に過去に遡って改訂しています（賃金指数、労働時間指数は平成19年以降、常用雇用指数は平成17年以降）。,,,,,,,,,,,,,,,,,,,
