規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.4,19.2,17.3,145.7,157.1,128.3,134.5,143.5,120.7,11.2,13.6,7.6
５人以上,鉱業,18.1,18.2,17.6,142.1,143.9,135,130.8,132.3,125,11.3,11.6,10
５人以上,建設業,20.6,20.8,19.4,171.5,175.9,149,157.1,159.7,143.8,14.4,16.2,5.2
５人以上,製造業,19.6,19.9,19,161.1,165.1,149.7,150.3,153.6,141,10.8,11.5,8.7
５人以上,電気・ガス・熱供給・水道業,18.2,18.4,16.9,157.2,160.6,134.8,137.5,140,121.4,19.7,20.6,13.4
５人以上,情報通信業,18.8,19,18.1,161.3,165.1,150.8,140.4,143,133.2,20.9,22.1,17.6
５人以上,運輸業,19.9,20.2,18.7,169.3,176.3,140.8,148.5,152.9,130.6,20.8,23.4,10.2
５人以上,卸売・小売業,18.8,19.5,17.8,142.8,154.8,126.7,135.4,145.8,121.3,7.4,9,5.4
５人以上,金融・保険業,18.4,18.8,17.9,152.3,157.2,144.9,137.1,140.7,131.7,15.2,16.5,13.2
５人以上,不動産業,19.9,20.4,18.9,155.5,164,136.6,144,150.7,129.2,11.5,13.3,7.4
５人以上,"飲食店,宿泊業",15.6,17,14.4,108.3,129,89.5,102.9,120.9,86.5,5.4,8.1,3
５人以上,"医療,福祉",17.5,17.3,17.5,130.5,135.2,128.8,124.4,128.9,122.8,6.1,6.3,6
５人以上,"教育,学習支援業",15.7,16.5,14.9,111.9,118.4,104.7,107.9,114.2,101,4,4.2,3.7
５人以上,複合サービス事業,18.1,18.9,16.6,147.1,157.4,127.7,135.6,143.5,120.6,11.5,13.9,7.1
５人以上,サービス業（他に分類されないもの）,18.7,19.3,17.8,149.1,158.2,136.4,136.9,144,126.9,12.2,14.2,9.5
30人以上,調査産業計,18.5,19,17.5,148.7,157.5,133.7,135.8,142.5,124.4,12.9,15,9.3
30人以上,鉱業,18.1,18.2,17.6,142.1,143.9,135,130.8,132.3,125,11.3,11.6,10
30人以上,建設業,20,20.1,19.3,170.9,173.8,151.5,153,154.3,144.7,17.9,19.5,6.8
30人以上,製造業,19.4,19.6,18.8,161.5,164.4,152.3,149.4,151.8,141.9,12.1,12.6,10.4
30人以上,電気・ガス・熱供給・水道業,17.9,18.1,16.6,156.1,158.9,136.6,135,136.8,122.2,21.1,22.1,14.4
30人以上,情報通信業,18.6,18.8,17.9,160.1,163.7,150,138.7,141.3,131.6,21.4,22.4,18.4
30人以上,運輸業,19.8,20,18.7,169.1,174.8,145.2,148.2,151.4,134.8,20.9,23.4,10.4
30人以上,卸売・小売業,18.9,19.5,18.2,147.3,155.4,135.1,138.4,145.6,127.6,8.9,9.8,7.5
30人以上,金融・保険業,18.4,18.8,17.9,153.3,158.1,146,137.4,140.9,132.1,15.9,17.2,13.9
30人以上,不動産業,19.9,20.3,19.1,154.8,163,137.2,141.1,147.2,128.1,13.7,15.8,9.1
30人以上,"飲食店,宿泊業",16,17.4,14.7,113.8,133.6,95.8,107.4,124.8,91.5,6.4,8.8,4.3
30人以上,"医療,福祉",17.3,16.8,17.4,131,132.9,130.5,124.1,126,123.5,6.9,6.9,7
30人以上,"教育,学習支援業",16.1,16.7,15.2,114.9,120.2,108.1,111,116.3,104.1,3.9,3.9,4
30人以上,複合サービス事業,18.5,19.2,16.8,151.6,159.6,128.7,139.4,145.1,123.1,12.2,14.5,5.6
30人以上,サービス業（他に分類されないもの）,18.4,19,17.6,146.9,155.7,134.2,133.7,140.5,123.9,13.2,15.2,10.3
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
