規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,160,145.2,14.8,14,89.9,87.5,2.4
100～499人,19.1,159.6,144.9,14.7,14.6,93.3,89.9,3.4
100人以上,19.2,159.8,145.1,14.7,14.4,92.1,89.1,3
30～99人,19,155.6,144.1,11.5,12.8,75.2,72.3,2.9
５～29人,20,162.5,153.1,9.4,13.7,82.5,80,2.5
30人以上,19.1,158.3,144.7,13.6,13.6,83.3,80.3,3
５人以上,19.4,159.5,147,12.5,13.6,83,80.2,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
