規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.3,16.9,147,153.5,134,132.2,137.2,122.2,14.8,16.3,11.8
100～499人,17.8,18.2,17,145.7,152.6,132.5,131.7,136.8,122,14,15.8,10.5
100人以上,17.8,18.2,17,146.2,153,133.1,131.9,137,122.1,14.3,16,11
30～99人,17.1,17.7,16.2,133.6,144.8,116.8,123.2,132.3,109.5,10.4,12.5,7.3
５～29人,16.5,17.5,15.3,125.8,142.2,106.1,118.1,131.9,101.4,7.7,10.3,4.7
30人以上,17.6,18.1,16.7,141.6,150.2,126.5,128.7,135.4,117,12.9,14.8,9.5
５人以上,17.2,17.9,16.1,136.6,147.9,119,125.3,134.4,111.3,11.3,13.5,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（確報）,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
