規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,962471,1157345,567974,444312,511508,308282,407016,37296,518159,645837,259692
100～499人,686199,806960,462193,364141,420594,259425,338105,26036,322058,386366,202768
100人以上,807782,963732,507248,399423,461271,280235,368432,30991,408359,502461,227013
30～99人,537716,659677,362128,317787,385504,220294,301172,16615,219929,274173,141834
５～29人,344820,438818,231099,254058,321816,172083,243834,10224,90762,117002,59016
30人以上,709379,860531,448112,369678,435555,255809,343925,25753,339701,424976,192303
５人以上,594176,740199,369286,333141,403101,225397,312295,20846,261035,337098,143889
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
