規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,156.8,141.2,15.6,14.1,89.7,85.8,3.9
100～499人,19,160.1,143.9,16.2,14.7,95.3,90.9,4.4
100人以上,18.9,158.6,142.7,15.9,14.5,93.3,89.1,4.2
30～99人,19.4,159.4,147.2,12.2,13.7,80.6,76.9,3.7
５～29人,20.3,165.4,155.2,10.2,13.8,83.2,80.5,2.7
30人以上,19.1,158.9,144.2,14.7,14.1,86.6,82.7,3.9
５人以上,19.4,160.6,147.1,13.5,13.9,84.9,81.6,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
