規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,96.5,－,100.8,93.2,92.7,94.5,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.2,2.8,66.4,84.5,87.9,91,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.9,0.9,80.1,102.2,100.1,103.4,101.6,101.1,102,101.9,99.9,96.2,97.8,98.9,99.5,102.7
５人以上,平成19,2007,年平均,102.3,1.4,78.9,103.1,98.5,102.9,102.4,100.1,103.7,106.7,100.5,99.4,98.2,101.2,102,105
５人以上,平成20,2008,年平均,103.9,1.6,78,104.8,98.9,104.1,104.6,100.8,105.5,108.5,100.1,102,100.5,103.8,98.4,106.3
５人以上,平成20,2008,1月,102.5,1.5,77.1,102.6,98,102.3,101.5,100.9,103.7,107.3,99.7,102.1,98.8,102.1,99,105.3
５人以上,平成20,2008,2月,102.3,1.4,77.1,102.7,98.1,102.2,102.3,101.1,103,107.3,98.7,100.7,98.8,100.3,99.1,105.6
５人以上,平成20,2008,3月,102.2,1.7,76.5,102.4,98.2,102.5,102.7,101.2,103.1,107.6,97.9,100.7,98.4,98.2,97.7,105.7
５人以上,平成20,2008,4月,104.2,1.4,77.4,106.1,100.1,104.1,107.2,101.8,104.6,109.7,101.6,98.7,101.1,104.9,98.8,107.1
５人以上,平成20,2008,5月,104.4,1.5,77.1,105.2,99.9,103.3,106.9,100.5,105,110.4,101.9,101.4,100.8,105.2,98.7,106.8
５人以上,平成20,2008,6月,104.3,1.5,76.9,105.2,99.4,100.1,105.7,100.9,105.6,109.1,101.4,102.1,101,105.3,98.5,106.8
５人以上,平成20,2008,7月,104.4,1.4,77.3,105.8,99.5,99.4,105.2,100.9,105.8,108.9,101.2,102.7,101.6,105.8,98.9,106.6
５人以上,平成20,2008,8月,103.9,1.2,77.8,105.6,99.5,98.1,104.5,100.4,105.2,108.3,100.3,101.4,101.3,105,98.6,106.2
５人以上,平成20,2008,9月,104.2,1.7,79.4,105.8,99,104.8,104.5,100.9,107,108,100.4,100.8,101.3,104.1,97.9,106.1
５人以上,平成20,2008,10月,104.4,1.8,79.8,105.5,98.6,104.4,105.2,100.3,107,108.2,99.4,102.7,101.2,105.9,97.5,106.4
