規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,562331,-17.5,87.5,90,1.29,-0.17
30人以上,鉱業,1226114,-19.5,100,100,2.49,-0.2
30人以上,建設業,676461,10.8,88.2,87.7,1.83,0.57
30人以上,製造業,757123,-15.3,78.6,84,1.44,-0.1
30人以上,電気・ガス・熱供給・水道業,1044830,1.3,100,100,2.41,0.26
30人以上,情報通信業,703506,-4,92.3,95.6,1.58,0.03
30人以上,運輸業,479558,-10.5,88.5,88.1,1.34,-0.03
30人以上,卸売・小売業,537385,-15.6,86.3,93.2,1.13,-0.18
30人以上,金融・保険業,806707,-26.5,89.9,87.8,1.74,-0.49
30人以上,不動産業,540762,-15.7,90.3,93.3,1.23,-0.41
30人以上,"飲食店,宿泊業",115214,-44.7,89,90.7,0.45,-0.09
30人以上,"医療,福祉",361928,-28.4,99.5,97,1.17,-0.6
30人以上,"教育,学習支援業",678815,-14.5,99.4,90.9,1.77,-0.34
30人以上,複合サービス事業,710590,13.8,100,100,1.87,0.09
30人以上,サービス業（他に分類されないもの）,437887,-26.1,78.3,83.7,1.22,-0.15
30～99人,調査産業計,403134,-17.5,86.4,88.9,1.23,-0.14
30～99人,鉱業,1065244,20.8,100,100,2.33,0.23
30～99人,建設業,730519,60.3,88.9,86.5,1.9,0.73
30～99人,製造業,497945,-6.5,75.3,79.8,1.3,-0.08
30～99人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,情報通信業,477773,-3.9,92.6,92.4,1.51,0.12
30～99人,運輸業,571170,28.8,87.5,82.5,1.4,0.01
30～99人,卸売・小売業,344299,-17.9,85.5,92.5,1.05,-0.12
30～99人,金融・保険業,588442,-28.1,88.5,90.3,1.75,-0.44
30～99人,不動産業,443480,-25.5,88,87.2,1.13,-0.5
30～99人,"飲食店,宿泊業",68959,-33.2,88.6,88.6,0.41,-0.05
30～99人,"医療,福祉",267179,-42.9,100,100,1.18,-0.62
30～99人,"教育,学習支援業",646861,-17.4,100,100,1.75,-0.36
30～99人,複合サービス事業,548934,0,100,100,1.79,1.79
30～99人,サービス業（他に分類されないもの）,400420,-23.4,74.1,74.1,1.18,-0.14
100～499人,調査産業計,540120,-16.8,91.6,90.1,1.48,-0.22
100～499人,鉱業,1337444,-21.2,100,100,2.88,-1.01
100～499人,建設業,569383,-3.8,84.5,91.3,1.57,-0.02
100～499人,製造業,658496,-23.2,85.7,81.7,1.63,-0.41
100～499人,電気・ガス・熱供給・水道業,1136347,14.4,100,100,2.45,0.26
100～499人,情報通信業,720335,9.5,89.3,93,1.66,-0.05
100～499人,運輸業,385699,-19.3,90.3,88.2,1.19,-0.11
100～499人,卸売・小売業,521433,-21.2,89.3,91.1,1.47,-0.22
100～499人,金融・保険業,678776,-34.3,100,100,1.67,-0.69
100～499人,不動産業,526595,-4.1,96.6,95.3,1.5,-0.11
100～499人,"飲食店,宿泊業",244425,-44.9,94.8,96.1,0.92,-0.75
100～499人,"医療,福祉",390651,-15.3,100,100,1.07,-0.55
100～499人,"教育,学習支援業",726070,-18.5,95.2,90,2,-0.08
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,452927,-17.7,92.6,85.2,1.36,-0.13
500人以上,調査産業計,838670,-18.2,92.3,91.8,1.75,-0.49
500人以上,鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,737836,-24.7,91.7,85.1,1.39,-0.91
500人以上,製造業,993770,-19.6,91.3,88.8,2.23,-0.51
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,833998,-14.8,100,100,2.04,-0.22
500人以上,運輸業,571587,-43.9,95.8,97.8,1.5,-0.47
500人以上,卸売・小売業,1384650,17.8,100,100,1.96,-0.6
500人以上,金融・保険業,1071156,-19.8,77.6,79,1.87,-0.67
500人以上,不動産業,758851,-35.7,100,100,1.65,-0.88
500人以上,"飲食店,宿泊業",235273,-36.9,100,100,0.97,-0.39
500人以上,"医療,福祉",520363,-20.5,74.1,86.5,1.47,-0.29
500人以上,"教育,学習支援業",701636,-4.4,95.1,78.5,1.74,-0.22
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,452977,-42.9,87.8,93.5,1.02,-0.89
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
