規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,103.6,－,359.1,95.5,98,72.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,109.6,5.8,144.3,84,100.1,115.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,-8.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,104.6,4.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,102.8,98,96.1,94,94.6,100.4
５人以上,平成19,2007,年平均,105.1,0.5,108.5,134,103.8,129.5,98.8,106.1,116.3,144.4,107.4,79,101.5,76.9,86.4,94.5
５人以上,平成20,2008,年平均,105.7,0.6,88.1,150.6,99.2,156.2,99.9,99.2,120.2,155.2,112.7,70.3,120,66.1,55.9,95.2
５人以上,平成20,2008,4月,112.5,-1.1,100.8,141.2,107.8,156.8,109.4,114,126.9,165.9,122.3,70.6,124.3,78.2,63.4,98.9
５人以上,平成20,2008,5月,103.7,-0.3,98.3,139.8,97.1,143.7,98.3,96.3,116.6,160.7,120.5,65.1,124,60.9,52.2,93
５人以上,平成20,2008,6月,102.8,-2.1,85.7,149.1,100.1,142.6,94.9,94.3,117.4,157.5,111.5,57.3,116.4,59.9,60.7,93.5
５人以上,平成20,2008,7月,107.5,3.2,87.1,145.7,103.8,163.4,98,100.1,121.4,158.7,115.9,73.7,118,78.2,61.6,97.7
５人以上,平成20,2008,8月,101.2,1.3,96.9,150.1,94.7,143.8,95,90.7,117.4,153.2,103.7,69.5,110.3,65.4,40.9,91.1
５人以上,平成20,2008,9月,101.4,0.5,45.4,151.6,95.8,160.2,94.6,93.4,121.4,148.7,101.9,65.4,106.3,55,42,93.7
５人以上,平成20,2008,10月,107.8,3.9,51.4,160,101.4,175.9,101.8,94.8,128.7,159.9,113.4,71.9,115.3,63.1,49.2,97.9
５人以上,平成20,2008,11月,106.1,-0.4,111.3,170.5,96.5,162.5,100.3,93.2,121.3,153.1,107.5,77.1,125.9,66.5,48.2,94.9
５人以上,平成20,2008,12月,106.2,-0.4,100.5,157.2,90.7,147.5,103.5,98.1,120.4,151.9,110.7,77.6,147.5,65.3,73.5,91.9
５人以上,平成21,2009,1月,100,0.5,103.1,136.7,82.3,168.6,99.5,92.3,111.3,155.2,131.7,86.1,130.8,51.9,59.5,88.1
５人以上,平成21,2009,2月,100.9,-5.6,104.6,154.1,88.7,181,101,97.7,105.6,147.6,124.8,68.1,138.5,57,63.8,90.4
５人以上,平成21,2009,3月,104.4,-7.1,110.8,162.4,86.3,192.6,104,100,112.7,158.1,134.7,68.1,130.8,60.8,66.3,96.3
５人以上,平成21,2009,4月,104.4,-7.2,119.2,151.4,86.3,176,103,99.5,118.3,161.9,141.6,75,126.9,60.8,63.8,93.3
５人以上,平成21,2009,4月（対前年同月比（％））,－,－,18.3,7.2,-19.9,12.2,-5.9,-12.7,-6.8,-2.4,15.8,6.2,2.1,-22.3,0.6,-5.7
30人以上,平成15,2003,年平均,101.3,－,402.7,89.7,97.8,69.1,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,115.3,13.8,147,74.9,102.3,108.2,－,－,－,－,－,－,－,－,－,－
