規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,502923,483112,441542,41570,19811,162669,161649,153424,8225,1020
100～499人,439400,411000,377588,33412,28400,121345,120642,114989,5653,703
100人以上,467873,443323,406254,37069,24550,136289,135471,128888,6583,818
30～99人,394539,383438,360820,22618,11101,98250,96825,93157,3668,1425
５～29人,353226,342781,326268,16513,10445,93675,93120,90301,2819,555
30人以上,443237,423205,390990,32215,20032,116203,115065,110021,5044,1138
５人以上,419124,401660,373652,28008,17464,105016,104167,100228,3939,849
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年４月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
