規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.6,164.6,147.8,16.8,13.1,85.3,82.7,2.6
100～499人,19.5,163.5,146.7,16.8,14.1,89.5,85.9,3.6
100人以上,19.5,164,147.2,16.8,13.8,88.1,84.8,3.3
30～99人,19.8,163.8,150.6,13.2,12.9,74.4,71.2,3.2
５～29人,20.2,164.4,153.6,10.8,13.6,80.5,78,2.5
30人以上,19.6,164,148.4,15.6,13.3,81,77.8,3.2
５人以上,19.8,164.1,149.8,14.3,13.4,80.8,77.9,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
