事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
30人以上,TL 調査産業計,平成17,2005,年平均,485455,578241,308985,376360,444836,246126,347840,28520,109095,133405,62859
30人以上,TL 調査産業計,平成18,2006,年平均,489455,584977,312629,374252,443004,246981,345002,29250,115203,141973,65648
30人以上,TL 調査産業計,平成19,2007,年平均,488551,577529,318891,374024,436871,254190,345788,28236,114527,140658,64701
30人以上,TL 調査産業計,平成20,2008,年平均,499966,586585,329177,380682,442060,259661,352711,27971,119284,144525,69516
30人以上,TL 調査産業計,平成21,2009,年平均,466643,557125,311082,369146,436510,253330,342915,26231,97497,120615,57752
30人以上,TL 調査産業計,平成21,2009,1月,387416,459102,261378,366353,435275,245175,339272,27081,21063,23827,16203
30人以上,TL 調査産業計,平成21,2009,2月,383926,453362,263354,371233,439066,253445,343383,27850,12693,14296,9909
30人以上,TL 調査産業計,平成21,2009,3月,402451,474857,276874,375239,444247,255555,346971,28268,27212,30610,21319
30人以上,TL 調査産業計,平成21,2009,4月,392342,463509,270199,375250,442346,260095,347264,27986,17092,21163,10104
30人以上,TL 調査産業計,平成21,2009,5月,394321,467596,267689,362706,428318,249318,336127,26579,31615,39278,18371
30人以上,TL 調査産業計,平成21,2009,6月,709379,860531,448112,369678,435555,255809,343925,25753,339701,424976,192303
30人以上,TL 調査産業計,平成21,2009,7月,508595,614327,328284,368176,435106,254036,342772,25404,140419,179221,74248
30人以上,TL 調査産業計,平成21,2009,8月,381573,452642,261182,369138,436406,255187,344758,24380,12435,16236,5995
30人以上,TL 調査産業計,平成21,2009,9月,376347,444645,258738,366260,432776,251720,341919,24341,10087,11869,7018
30人以上,TL 調査産業計,平成21,2009,10月,380255,450410,259871,367961,435473,252113,342690,25271,12294,14937,7758
30人以上,TL 調査産業計,平成21,2009,11月,403620,483419,268796,368191,436032,253571,342317,25874,35429,47387,15225
30人以上,TL 調査産業計,平成21,2009,12月,877534,1060385,566002,369665,437673,253796,343649,26016,507869,622712,312206
30人以上,D 鉱業,平成17,2005,年平均,687071,754997,384855,457838,500728,267011,448824,9014,229233,254269,117844
30人以上,D 鉱業,平成18,2006,年平均,703153,772912,385894,453473,494582,266513,444886,8587,249680,278330,119381
30人以上,D 鉱業,平成19,2007,年平均,667289,728738,394115,466148,508569,277563,434236,31912,201141,220169,116552
30人以上,D 鉱業,平成20,2008,年平均,719236,780702,424473,475703,515127,286645,446451,29252,243533,265575,137828
30人以上,D 鉱業,平成21,2009,年平均,731346,803410,466954,492725,538440,325003,472371,20354,238621,264970,141951
30人以上,D 鉱業,平成21,2009,1月,523628,575356,341013,520659,571727,340375,499307,21352,2969,3629,638
30人以上,D 鉱業,平成21,2009,2月,510538,562051,327691,506269,558287,321629,484425,21844,4269,3764,6062
30人以上,D 鉱業,平成21,2009,3月,549253,601132,364577,503366,553190,326007,480806,22560,45887,47942,38570
30人以上,D 鉱業,平成21,2009,4月,514521,563047,344408,509212,557529,339832,482960,26252,5309,5518,4576
30人以上,D 鉱業,平成21,2009,5月,517018,569619,333772,502832,553336,326889,482806,20026,14186,16283,6883
30人以上,D 鉱業,平成21,2009,6月,1433521,1628620,755432,493487,543144,320897,476940,16547,940034,1085476,434535
30人以上,D 鉱業,平成21,2009,7月,773203,814366,613048,496999,536692,342561,474705,22294,276204,277674,270487
30人以上,D 鉱業,平成21,2009,8月,578617,634873,360140,477945,518292,321254,460097,17848,100672,116581,38886
30人以上,D 鉱業,平成21,2009,9月,515527,559229,347190,479195,522076,314019,462859,16336,36332,37153,33171
30人以上,D 鉱業,平成21,2009,10月,493052,537587,321745,485767,529370,318047,464313,21454,7285,8217,3698
30人以上,D 鉱業,平成21,2009,11月,472520,514606,314244,469910,511481,313570,450166,19744,2610,3125,674
30人以上,D 鉱業,平成21,2009,12月,1872335,2058853,1174464,469009,510355,314310,450709,18300,1403326,1548498,860154
30人以上,E 建設業,平成17,2005,年平均,535192,562386,319911,439710,462693,257762,413105,26605,95482,99693,62149
30人以上,E 建設業,平成18,2006,年平均,521741,548150,312921,426418,448269,253634,398714,27704,95323,99881,59287
30人以上,E 建設業,平成19,2007,年平均,518836,548764,317835,415565,440055,251087,384480,31085,103271,108709,66748
30人以上,E 建設業,平成20,2008,年平均,507331,535446,315152,407560,430466,250986,375690,31870,99771,104980,64166
30人以上,E 建設業,平成21,2009,年平均,542781,576187,317214,434079,460272,257220,395894,38185,108702,115915,59994
30人以上,E 建設業,平成21,2009,1月,433830,458926,254966,429390,454071,253483,392509,36881,4440,4855,1483
