事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／対前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／対前年支給月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／対前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／対前年支給月数差(か月)
30人以上,TL 調査産業計,562331,-17.5,87.5,90,1.29,-0.17,599658,-13.5,87.9,91.6,1.43,-0.11
30人以上,D 鉱業,1226114,-19.5,100,100,2.49,-0.2,1538095,18.1,100,100,3.34,0.97
30人以上,E 建設業,676461,10.8,88.2,87.7,1.83,0.57,664135,2.5,90,94.1,1.85,0.35
30人以上,F 製造業,757123,-15.3,78.6,84,1.44,-0.1,726485,-16.2,83.3,93.8,1.25,-0.25
30人以上,G 電気・ガス・熱供給・水道業,1044830,1.3,100,100,2.41,0.26,1023541,-12.9,100,100,2.44,0.21
30人以上,H 情報通信業,703506,-4,92.3,95.6,1.58,0.03,743897,-0.5,87.4,92.9,1.79,-0.01
30人以上,I 運輸業,479558,-10.5,88.5,88.1,1.34,-0.03,495025,-14.9,91.9,87.4,1.35,-0.11
30人以上,J 卸売・小売業,537385,-15.6,86.3,93.2,1.13,-0.18,561464,-4.4,83.9,92.6,1.43,0.1
30人以上,K 金融・保険業,806707,-26.5,89.9,87.8,1.74,-0.49,894510,-23.8,88.7,90.7,1.99,-0.37
30人以上,L 不動産業,540762,-15.7,90.3,93.3,1.23,-0.41,536294,-16.6,84.6,91.8,1.39,-0.34
30人以上,"M 飲食店,宿泊業",115214,-44.7,89,90.7,0.45,-0.09,131537,-47.4,83.6,86.8,0.47,-0.08
30人以上,"N 医療,福祉",361928,-28.4,99.5,97,1.17,-0.6,431180,-21.2,96.8,89.6,1.43,-0.35
30人以上,"O 教育,学習支援業",678815,-14.5,99.4,90.9,1.77,-0.34,786727,-15.6,100,100,1.98,-0.41
30人以上,P 複合サービス事業,710590,13.8,100,100,1.87,0.09,747425,14.8,100,100,2.08,0.09
30人以上,Q サービス業（他に分類されないもの）,437887,-26.1,78.3,83.7,1.22,-0.15,483325,-21.6,85.3,87.9,1.33,-0.15
30人以上,"F09,10 食料品・たばこ",671669,12.5,70.1,74.9,0.92,-0.41,802829,17.1,76.2,87.6,1.03,-0.55
30人以上,F11 繊維,902733,-28.8,100,100,2.65,-0.42,493786,-52.1,100,100,0.95,-1.55
30人以上,F12 衣類,175428,-56.8,14.8,56.7,0.45,-0.47,257077,-12.8,100,100,0.64,-0.22
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,533837,-26.6,100,100,1.18,-0.49,614033,-21.6,77.1,92.5,1.36,-0.5
30人以上,F16 印刷,423104,4.1,72.4,87.2,1.03,0.14,417553,18.5,85.1,95.9,1.09,0.41
30人以上,F17 化学,1128805,-3.6,79.9,74.1,1.97,-0.18,990670,-10.5,90.2,91.7,1.73,-0.44
30人以上,F18 石油・石炭,1076444,-12.1,100,100,1.51,-1.29,920456,-28.5,100,100,1.43,-1.38
30人以上,F19 プラスチック,705535,1.1,28.4,55.6,0.78,-0.88,586309,-21.9,77.1,86.3,0.83,-0.96
30人以上,F20 ゴム,683791,-21.3,100,100,1.09,-1.04,808486,-10.2,32,83.6,2.27,-1.08
30人以上,F21 なめし革,309970,-18.5,78.4,82,0.7,-0.5,314272,-21,66.7,75.4,0.73,-0.46
30人以上,F22 窯業・土石,1099149,18.7,100,100,2.03,0.15,1121947,27.9,100,100,1.96,0.15
30人以上,F23 鉄鋼,1334765,-27.3,100,100,2.27,-1.18,1477172,-19.1,93.8,99.6,2.49,-1.03
30人以上,F24 非鉄金属,699050,-35.1,100,100,1.53,-0.95,711462,-32.8,100,100,1.69,-0.76
30人以上,F25 金属製品,230384,-53.8,100,100,0.39,-0.86,263557,-47.1,100,100,1.13,-0.16
30人以上,F26 一般機械,722973,-35.4,96.1,70.7,1.92,-0.07,623854,-43.2,100,100,0.74,-1.23
30人以上,F27 電気機械,807878,-20.7,100,100,1.86,0.03,775527,-24.6,100,100,1.75,0.09
30人以上,F28 情報通信機器,959704,-23.7,71.4,88.8,1.68,-0.71,1056374,-9.3,81.1,96.1,1.66,-0.58
30人以上,F29 電子部品・デバイス,770784,-29,21.6,70.3,1.49,-0.44,615147,-39.4,35.8,73.8,0.67,-1.06
30人以上,F30 輸送用機器,879635,-10.9,100,100,2.16,0.69,704803,-25.7,65.4,94.7,1.49,0.03
30人以上,F31 精密機器,665936,-22.8,83.3,96,1.67,0.13,720346,-22.2,91.5,97.9,1.63,0.07
30人以上,F32 その他,412204,-61.3,99.5,84.7,0.98,-1.04,340561,-55.1,87.5,97,1.02,-0.82
30人以上,J-1 卸売業,904955,3.1,90.6,94.9,1.55,-0.16,755401,-3.5,84.5,91.5,1.63,0.03
30人以上,J-2 小売業,277804,8.2,82,91.9,0.66,-0.2,266331,3.7,82.3,94.4,0.88,-0.1
30人以上,Q80 専門サービス業（他に分類されないもの）,612611,-25.9,64.2,66.7,1.17,-0.63,534572,-42.4,70.2,86.7,1.22,-0.79
30人以上,Q81 学術・開発研究機関,720402,-28.5,85.9,96.5,1.52,-0.51,785386,-15.7,100,100,1.65,-0.45
30人以上,Q84 娯楽業,140420,-63.7,88.9,94.9,0.6,-0.7,254600,-40.3,89.1,91.1,0.85,-0.68
30人以上,"Q86,87 自動車整備業、機械等修理業",764267,19.7,74,87.3,2.3,1.34,669908,-3.9,95,93.6,2.21,1
30人以上,Q82 洗濯・理容・美容・浴場業,281063,159.2,68.1,69,1.1,0.75,321291,88.1,100,100,1.24,0.66
30人以上,Q89 広告業,749267,-28.8,76.6,87,1.21,0.16,662622,-10.1,72.2,71.8,1.27,0.21
30人以上,QS-1 一括分,368762,-25.7,84.5,87.9,1.3,-0.09,444474,-16.1,86.6,87.4,1.39,-0.05
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成21年確報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況 （事業所規模３０人以上）,,,,,,,,,,,,,
