規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,503694,475216,434021,41195,28478,145636,145292,137461,7831,344
100～499人,429039,403772,373200,30572,25267,128215,126711,120003,6708,1504
100人以上,462280,435583,400281,35302,26697,134757,133689,126559,7130,1068
30～99人,406155,384015,360137,23878,22140,91828,91139,87264,3875,689
５～29人,360358,338201,322233,15968,22157,88075,87567,84558,3009,508
30人以上,443624,418442,386937,31505,25182,111834,110968,105576,5392,866
５人以上,420985,396625,369345,27280,24360,100403,99709,95464,4245,694
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（確報）,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
