事業所規模,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５～29人,平成17,2005,年平均,317844,394956,213803,273796,338155,186962,263599,10197,44048,56801,26841
５～29人,平成18,2006,年平均,318621,390200,218327,273498,333397,189570,262175,11323,45123,56803,28757
５～29人,平成19,2007,年平均,311198,390251,205738,264419,329283,177887,253796,10623,46779,60968,27851
５～29人,平成20,2008,年平均,300370,379948,202860,259287,326393,177059,248181,11106,41083,53555,25801
５～29人,平成21,2009,年平均,291834,370510,195722,255708,322866,173667,244765,10943,36126,47644,22055
５～29人,平成21,2009,1月,268808,343951,178256,253930,324094,169377,242319,11611,14878,19857,8879
５～29人,平成21,2009,2月,256323,326926,171303,253392,322745,169877,241689,11703,2931,4181,1426
５～29人,平成21,2009,3月,266501,339378,178268,255398,324787,171388,243699,11699,11103,14591,6880
５～29人,平成21,2009,4月,267075,339509,179467,259913,329281,176012,247946,11967,7162,10228,3455
５～29人,平成21,2009,5月,258781,328580,174434,253901,321758,171902,243110,10791,4880,6822,2532
５～29人,平成21,2009,6月,344820,438818,231099,254058,321816,172083,243834,10224,90762,117002,59016
５～29人,平成21,2009,7月,341277,435427,225892,259030,323979,179432,248112,10918,82247,111448,46460
５～29人,平成21,2009,8月,266982,334469,182193,256815,321650,175356,246385,10430,10167,12819,6837
５～29人,平成21,2009,9月,260024,327026,176381,255910,321345,174222,245941,9969,4114,5681,2159
５～29人,平成21,2009,10月,259836,325343,178874,255537,319920,175965,244945,10592,4299,5423,2909
５～29人,平成21,2009,11月,262895,330373,179842,254984,320056,174892,244417,10567,7911,10317,4950
５～29人,平成21,2009,12月,448080,576516,291919,255630,323067,173636,244775,10855,192450,253449,118283
30～99人,平成17,2005,年平均,407484,496440,271357,328170,398758,220152,307925,20245,79314,97682,51205
30～99人,平成18,2006,年平均,407296,494973,273071,325373,394378,219734,303436,21937,81923,100595,53337
30～99人,平成19,2007,年平均,425608,509899,279802,336918,399631,228439,316945,19973,88690,110268,51363
30～99人,平成20,2008,年平均,445663,526904,293033,350434,411503,235702,331064,19370,95229,115401,57331
30～99人,平成21,2009,年平均,384180,468406,260375,315226,382656,216110,297801,17425,68954,85750,44265
30～99人,平成21,2009,1月,328583,394716,230091,311737,381790,207406,292795,18942,16846,12926,22685
30～99人,平成21,2009,2月,334495,402851,233774,322461,389281,224003,304326,18135,12034,13570,9771
30～99人,平成21,2009,3月,345062,419085,237627,321749,390856,221449,302521,19228,23313,28229,16178
30～99人,平成21,2009,4月,327984,396915,228095,319056,385622,222594,300694,18362,8928,11293,5501
30～99人,平成21,2009,5月,325869,394627,221941,306603,371168,209014,289692,16911,19266,23459,12927
30～99人,平成21,2009,6月,537716,659677,362128,317787,385504,220294,301172,16615,219929,274173,141834
30～99人,平成21,2009,7月,404936,503671,258364,313972,382709,211932,297286,16686,90964,120962,46432
30～99人,平成21,2009,8月,333685,409820,225237,315148,383906,217209,298977,16171,18537,25914,8028
30～99人,平成21,2009,9月,319509,387953,216266,312370,379454,211178,295527,16843,7139,8499,5088
30～99人,平成21,2009,10月,322778,392394,218833,312529,378819,213550,295369,17160,10249,13575,5283
30～99人,平成21,2009,11月,348197,429129,231293,313757,379719,218476,296876,16881,34440,49410,12817
30～99人,平成21,2009,12月,680166,830610,458558,315624,383402,215784,298441,17183,364542,447208,242774
