規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.5,169.7,152.6,17.1,14.7,94,90.8,3.2
100～499人,20.4,170.5,154.1,16.4,14.6,92.7,88.9,3.8
100人以上,20.4,170.1,153.4,16.7,14.7,93.2,89.6,3.6
30～99人,20.7,169.6,156.7,12.9,13.2,76.7,73.7,3
５～29人,21.2,173.2,162.3,10.9,14,84,81.2,2.8
30人以上,20.5,169.9,154.5,15.4,13.9,84.5,81.2,3.3
５人以上,20.7,170.8,156.6,14.2,14,84.2,81.2,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
