事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業／入職率(％),鉱業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業／入職率(％),運輸業／離職率(％),卸売・小売業／入職率(％),卸売・小売業／離職率(％),金融・保険業／入職率(％),金融・保険業／離職率(％),不動産業／入職率(％),不動産業／離職率(％),飲食店・宿泊業／入職率(％),飲食店・宿泊業／離職率(％),医療・福祉／入職率(％),医療・福祉／離職率(％),教育・学習支援業／入職率(％),教育・学習支援業／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成17,2005,年平均,r2.01,r1.96,r2.00,r2.09,r1.25,r1.21,r1.47,r1.64,r1.64,r0.95,r2.69,r2.20,r1.46,r1.53,r1.81,r1.69,r2.03,r2.09,r1.98,r1.99,r3.16,r3.68,r1.89,r1.91,r2.22,r2.38,r2.36,r1.89,r2.25,r2.10
30人以上,平成18,2006,年平均,r2.08,r1.95,r1.84,r1.76,r1.42,r1.36,r1.47,r1.48,r0.86,r0.93,r2.02,r1.95,r1.64,r1.68,r2.15,r1.73,r2.30,r1.93,r1.79,r1.94,r3.72,r3.89,r2.03,r2.09,r2.27,r2.34,r2.77,r2.41,r2.33,r2.15
30人以上,平成19,2007,年平均,2.09,1.95,1.44,1.71,1.47,1.45,1.37,1.29,1.83,1.84,1.57,1.38,1.86,1.84,1.83,1.85,2.56,2.01,2.37,2.08,3.9,3.73,2.42,2.34,2.11,1.83,1.74,2.37,2.68,2.43
30人以上,平成20,2008,年平均,2.06,1.82,1.52,1.17,1.48,1.25,1.27,1.24,2.53,1.57,1.55,1.24,1.82,1.86,2.11,1.67,1.97,1.9,2.05,2.17,4.06,3.27,2.32,2.12,2.38,2.07,0.95,1.18,2.49,2.29
30人以上,平成21,2009,年平均,2.03,2.01,1.83,1.64,1.28,1.13,1.64,1.64,2.06,1.72,1.36,1.29,1.89,1.77,2.02,1.73,2.2,1.98,1.84,1.86,3.24,3.66,2.73,2.53,2.3,2.24,1.36,1.56,2.29,2.61
30人以上,平成21,2009,1月,1.11,1.27,0.65,1.26,0.72,0.54,0.57,0.83,1.75,0.63,0.49,0.64,0.58,1.48,0.89,1.12,1.77,1.28,1.18,1.27,1.78,1.32,2.67,1.87,0.34,0.3,0.17,0.06,1.59,2.31
30人以上,平成21,2009,2月,1.38,1.35,0.51,0.66,0.45,0.63,0.5,1.05,0.24,0.44,0.98,0.6,1.61,0.92,1.81,1.42,1.26,0.99,1.08,1.12,3.1,3.44,1.45,2.6,0.64,0.67,0.14,1.48,1.8,1.64
30人以上,平成21,2009,3月,1.82,2.37,0.91,1.47,1.1,1.33,1.07,1.39,0.85,0.81,1.25,1.37,1.74,1.98,1.99,2.09,1.28,1.96,1.71,2.16,3.75,3.6,3.3,2.92,1.01,2.14,2.92,4.58,2.06,3.83
30人以上,平成21,2009,4月,7.37,4.89,7.9,3.06,6.55,4.29,7.47,3.82,7.82,5.06,7.7,2.16,5.97,2.78,5.89,3.95,9.59,4.22,6.04,5.24,7.67,6.24,9.14,5.77,12.91,15,6.29,2.81,6,5.42
30人以上,平成21,2009,5月,1.77,2.57,1.36,0.39,0.88,1.06,1.64,2.26,0.48,1.25,0.6,3.17,1.8,2.06,1.35,1.6,1.51,2.12,2.26,2.57,3.89,5.85,2.53,2.67,1.96,1.6,0.55,0.61,2.49,3.48
30人以上,平成21,2009,6月,1.66,1.95,1.59,2.7,1.04,0.8,1.15,1.77,0.46,0.65,1.16,1.38,1.81,2.11,1.87,1.42,0.95,3.13,1.53,1.7,2.91,3.17,2.36,2.28,1.61,0.82,0.52,0.29,1.98,2.79
30人以上,平成21,2009,7月,1.79,1.88,2.39,1.9,1.64,0.91,1.36,1.87,10.4,8.66,1.55,1.62,1.68,1.48,1.65,1.6,2.04,2.19,1.67,1.94,2.92,2.95,1.64,1.96,1.26,0.65,0.45,1.84,2.03,2.45
30人以上,平成21,2009,8月,1.3,1.58,1.55,2.33,0.81,1.16,0.77,1.22,0.31,0.42,0.66,0.84,0.9,1.59,1.69,1.58,1.06,1.16,1.22,1.53,1.49,4.21,2.3,1.9,0.84,1.01,0.16,0.24,1.82,2.05
30人以上,平成21,2009,9月,1.44,1.53,0.88,0.93,0.61,0.41,0.94,1.14,0.67,0.64,0.68,0.81,1.27,1.12,1.29,1.2,1.13,1.56,1.12,1.47,3.06,3.92,1.79,1.99,1.2,1.72,0.15,1.08,2.42,2.17
30人以上,平成21,2009,10月,1.89,2.11,1.91,1.37,0.43,0.68,2.01,2.32,1.24,0.93,0.67,1.07,1.74,3.05,2.2,2.72,3.01,2.57,2.31,1.6,2.63,3.44,1.84,1.73,2.88,1.47,0.24,0.25,1.97,2.19
30人以上,平成21,2009,11月,1.77,1.26,1.17,1.99,0.7,0.94,1.62,1.06,0.25,0.45,0.32,0.95,1.75,1.49,2.85,1.11,1.6,0.79,0.87,0.93,3.36,3.28,1.71,1.63,1.64,1.08,3.55,0.14,1.84,1.42
30人以上,平成21,2009,12月,1.11,1.32,1.13,1.57,0.44,0.85,0.52,0.92,0.27,0.75,0.31,0.84,1.82,1.14,0.78,0.91,1.19,1.78,1.08,0.83,2.35,2.48,2.04,3.01,1.33,0.47,1.14,5.38,1.53,1.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成21年確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１２－２表　産業別労働異動率 （事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位：%) 平成19年から小数点以下第2位まで表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
