規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,18,17,146,151.2,135.5,131,134.8,123.3,15,16.4,12.2
100～499人,17.8,18.1,17.3,146,152,135.5,132.9,137,125.7,13.1,15,9.8
100人以上,17.7,18.1,17.2,146,151.6,135.5,132.1,136,124.7,13.9,15.6,10.8
30～99人,17.2,17.8,16.3,135.2,145.4,120,125.5,133.6,113.3,9.7,11.8,6.7
５～29人,17.2,18.2,16.1,130.3,145.7,111.7,123,136.1,107.2,7.3,9.6,4.5
30人以上,17.6,18,16.8,142.1,149.5,129.3,129.7,135.2,120.2,12.4,14.3,9.1
５人以上,17.5,18,16.6,138.4,148.5,123,127.6,135.5,115.5,10.8,13,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
