規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,20.6,169.1,156.2,12.9,14.2,84.1,81.5,2.6
５人以上,鉱業,20.3,158.7,146.4,12.3,12.1,69,64.8,4.2
５人以上,建設業,21.3,179.2,164.1,15.1,18.7,124.1,122.1,2
５人以上,製造業,20.2,166.2,156.4,9.8,17.9,121.8,115.9,5.9
５人以上,電気・ガス・熱供給・水道業,20.9,178.6,158.7,19.9,16.4,113.6,113.5,0.1
５人以上,情報通信業,20.2,172.1,152.3,19.8,16.3,101,97.6,3.4
５人以上,運輸業,21,178.9,158.1,20.8,16.3,112.1,101.7,10.4
５人以上,卸売・小売業,21,168.2,159,9.2,15.1,89.8,87.7,2.1
５人以上,金融・保険業,20.1,166.6,150.4,16.2,16.6,110.5,106.7,3.8
５人以上,不動産業,21.3,175.5,161.1,14.4,16.9,100.6,97,3.6
５人以上,"飲食店,宿泊業",20.1,163.8,154.8,9,13.2,75,72.4,2.6
５人以上,"医療,福祉",20.4,162.8,154.5,8.3,13.3,71.1,69.4,1.7
５人以上,"教育,学習支援業",21,159.4,153.4,6,10,50.5,50.1,0.4
５人以上,複合サービス事業,20.4,171,159,12,16.7,106.6,100.5,6.1
５人以上,サービス業（他に分類されないもの）,20.6,169.2,155.7,13.5,14.9,94.4,91.7,2.7
30人以上,調査産業計,20.4,167.8,153.9,13.9,14.2,85.7,82.7,3
30人以上,鉱業,20.3,158.7,146.4,12.3,12.1,69,64.8,4.2
30人以上,建設業,20.8,178.4,160.4,18,18.7,130.8,129.6,1.2
30人以上,製造業,19.8,164.3,153.6,10.7,18.6,134.8,126.4,8.4
30人以上,電気・ガス・熱供給・水道業,20.9,179.5,158.2,21.3,17.9,123.8,123.7,0.1
30人以上,情報通信業,20,170.1,150.3,19.8,17,106.6,102.3,4.3
30人以上,運輸業,20.7,176.5,155.9,20.6,16.1,114.9,104.3,10.6
30人以上,卸売・小売業,20.7,166.2,156,10.2,16.5,99.4,96.9,2.5
30人以上,金融・保険業,20.1,167.2,150,17.2,16.2,107.4,104.5,2.9
30人以上,不動産業,21,171.1,155.7,15.4,17.2,98.7,95.6,3.1
30人以上,"飲食店,宿泊業",21.2,177.1,166.1,11,12.3,69.7,66.6,3.1
30人以上,"医療,福祉",20.1,161.1,152.6,8.5,13.2,72.4,71,1.4
30人以上,"教育,学習支援業",21.2,158.6,153.3,5.3,9.5,48.3,47.9,0.4
30人以上,複合サービス事業,20.4,172.2,159.1,13.1,17.2,111.5,103.7,7.8
30人以上,サービス業（他に分類されないもの）,20.3,166.8,152.5,14.3,14.6,90.4,87.7,2.7
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年６月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
