規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.3,18.3,157.3,161.7,148.2,141.8,144.8,135.5,15.5,16.9,12.7
100～499人,18.7,19.2,17.8,152.7,160.8,137.8,137.8,143.7,127,14.9,17.1,10.8
100人以上,18.8,19.3,18,154.7,161.2,142.2,139.6,144.2,130.6,15.1,17,11.6
30～99人,18.3,19.1,17.1,144.2,156.6,126,133.2,143,118.9,11,13.6,7.1
５～29人,18,19,16.7,136.3,154,115,128.3,143.3,110.2,8,10.7,4.8
30人以上,18.6,19.2,17.6,150.8,159.6,135.6,137.2,143.8,125.8,13.6,15.8,9.8
５人以上,18.4,19.2,17.3,146.2,158.1,128,134.4,143.7,120.1,11.8,14.4,7.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
