規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.9,19.3,18.3,154.7,160.1,143.6,140.4,144.4,132.2,14.3,15.7,11.4
100～499人,18.8,19.2,18.2,154.1,161.4,141.5,139.7,144.9,130.7,14.4,16.5,10.8
100人以上,18.9,19.2,18.2,154.4,160.8,142.4,140,144.7,131.3,14.4,16.1,11.1
30～99人,18.4,19.1,17.2,143.7,155.8,125.6,133,142.6,118.5,10.7,13.2,7.1
５～29人,17.9,18.8,16.7,135.5,151,116.4,128.2,141.3,112.1,7.3,9.7,4.3
30人以上,18.7,19.2,17.8,150.5,159.1,135.7,137.5,144,126.2,13,15.1,9.5
５人以上,18.4,19.1,17.4,145.7,156.7,128.7,134.5,143.2,121.1,11.2,13.5,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
