規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.8,19.1,18.1,153.4,158.6,142.8,139.8,143.5,132.2,13.6,15.1,10.6
100～499人,18.5,18.8,18,150.8,157.3,139.7,137.6,142.2,129.7,13.2,15.1,10
100人以上,18.6,18.9,18,152,157.9,140.9,138.6,142.8,130.7,13.4,15.1,10.2
30～99人,17.6,18.4,16.5,137.8,149.9,120.5,128.2,138,114.2,9.6,11.9,6.3
５～29人,17.9,19,16.6,136,152.2,115.8,128.9,142.7,111.6,7.1,9.5,4.2
30人以上,18.3,18.8,17.4,146.8,155.2,132.6,134.8,141.2,124,12,14,8.6
５人以上,18.2,18.8,17.1,143.3,154.3,126.7,132.9,141.6,119.6,10.4,12.7,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
