規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.9,20.2,19.4,162.4,167.8,151.6,146.7,150.7,138.6,15.7,17.1,13
100～499人,19.6,20.1,18.7,160.3,168.6,145.4,145.6,151.7,134.5,14.7,16.9,10.9
100人以上,19.7,20.1,19,161.3,168.3,148,146.1,151.3,136.2,15.2,17,11.8
30～99人,19,19.9,17.7,148.7,162,129.5,138,148.9,122.4,10.7,13.1,7.1
５～29人,18.8,20,17.4,143.6,161.9,121.5,135.4,151,116.5,8.2,10.9,5
30人以上,19.5,20.1,18.5,156.6,166,140.5,143.1,150.4,130.6,13.5,15.6,9.9
５人以上,19.3,20,18.1,152.5,164.9,133.6,140.7,150.6,125.5,11.8,14.3,8.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
