規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5457289,70232,56341,5470335,1470864,61865,42647,1490927
５人以上,鉱業,2049,24,38,2035,9,0,3,6
５人以上,建設業,312454,2894,2583,312259,11933,336,126,12649
５人以上,製造業,649247,8144,6206,651182,49549,2164,1227,50489
５人以上,電気・ガス・熱供給・水道業,34103,80,143,34040,732,15,0,747
５人以上,情報通信業,700118,2715,6507,696456,26586,541,775,26222
５人以上,運輸業,316928,2917,4121,315724,44976,4793,1685,48084
５人以上,卸売・小売業,1111842,23857,13280,1122466,370577,13363,8771,375122
５人以上,金融・保険業,344069,5173,3165,346079,20350,426,165,20609
５人以上,不動産業,107694,1587,637,108643,20904,392,417,20880
５人以上,"飲食店,宿泊業",198024,3448,3759,197150,406950,18757,13714,412556
５人以上,"医療,福祉",358298,2760,2318,358813,151993,5614,5488,152046
５人以上,"教育,学習支援業",247238,2600,1565,248275,132181,3853,2979,133053
５人以上,複合サービス事業,46561,61,41,46581,11463,1730,18,13175
５人以上,サービス業（他に分類されないもの）,1028664,13972,11978,1030632,222661,9881,7279,225289
30人以上,調査産業計,3998771,51962,37893,4012971,731077,31645,21600,740991
30人以上,鉱業,2049,24,38,2035,9,0,3,6
30人以上,建設業,194068,1239,1827,193481,3918,155,25,4047
30人以上,製造業,499679,6923,4831,501766,28778,1660,761,29682
30人以上,電気・ガス・熱供給・水道業,31211,80,143,31148,514,0,0,514
30人以上,情報通信業,605791,1605,5355,602133,21391,381,633,21047
30人以上,運輸業,256052,2194,3574,254673,31545,2841,705,33680
30人以上,卸売・小売業,723808,18735,6298,736310,143654,5976,3303,146262
30人以上,金融・保険業,293505,4575,2375,295707,14726,370,74,15020
30人以上,不動産業,65028,418,421,65024,15205,278,327,15157
30人以上,"飲食店,宿泊業",89673,1115,2030,88758,130907,6291,5207,131991
30人以上,"医療,福祉",255398,2314,1149,256561,95277,3698,4556,94421
30人以上,"教育,学習支援業",206792,1340,1055,207080,81817,3397,2063,83148
30人以上,複合サービス事業,34954,61,41,34975,8185,1471,18,9637
30人以上,サービス業（他に分類されないもの）,740763,11339,8756,743320,155151,5127,3925,156379
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
