規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,157.7,142,15.7,14.1,89.5,85.9,3.6
100～499人,19.3,162.3,145.9,16.4,14.5,92.5,88.4,4.1
100人以上,19.1,160.2,144.1,16.1,14.4,91.4,87.5,3.9
30～99人,19.6,160.5,148.8,11.7,13.7,79.4,76.3,3.1
５～29人,20.8,168.5,158.4,10.1,13.7,81.8,79.3,2.5
30人以上,19.3,160.3,145.7,14.6,14,85.2,81.7,3.5
５人以上,19.7,162.5,149.1,13.4,13.9,83.5,80.5,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
