規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,103.6,－,359.1,95.5,98,72.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,109.6,5.8,144.3,84,100.1,115.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,-8.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,104.6,4.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,102.8,98,96.1,94,94.6,100.4
５人以上,平成19,2007,年平均,105.1,0.5,108.5,134,103.8,129.5,98.8,106.1,116.3,144.4,107.4,79,101.5,76.9,86.4,94.5
５人以上,平成20,2008,年平均,105.7,0.6,88.1,150.6,99.2,156.2,99.9,99.2,120.2,155.2,112.7,70.3,120,66.1,55.9,95.2
５人以上,平成20,2008,9月,101.4,0.5,45.4,151.6,95.8,160.2,94.6,93.4,121.4,148.7,101.9,65.4,106.3,55,42,93.7
５人以上,平成20,2008,10月,107.8,3.9,51.4,160,101.4,175.9,101.8,94.8,128.7,159.9,113.4,71.9,115.3,63.1,49.2,97.9
５人以上,平成20,2008,11月,106.1,-0.4,111.3,170.5,96.5,162.5,100.3,93.2,121.3,153.1,107.5,77.1,125.9,66.5,48.2,94.9
５人以上,平成20,2008,12月,106.2,-0.4,100.5,157.2,90.7,147.5,103.5,98.1,120.4,151.9,110.7,77.6,147.5,65.3,73.5,91.9
５人以上,平成21,2009,1月,100,0.5,103.1,136.7,82.3,168.6,99.5,92.3,111.3,155.2,131.7,86.1,130.8,51.9,59.5,88.1
５人以上,平成21,2009,2月,100.9,-5.6,104.6,154.1,88.7,181,101,97.7,105.6,147.6,124.8,68.1,138.5,57,63.8,90.4
５人以上,平成21,2009,3月,104.4,-7.1,110.8,162.4,86.3,192.6,104,100,112.7,158.1,134.7,68.1,130.8,60.8,66.3,96.3
５人以上,平成21,2009,4月,104.4,-7.2,119.2,151.4,86.3,176,103,99.5,118.3,161.9,141.6,75,126.9,60.8,63.8,93.3
５人以上,平成21,2009,5月,95.6,-7.8,93.8,129.4,74.2,149.6,93.5,90.9,104.2,146.7,121.8,69.4,132.7,62,60.1,87.4
５人以上,平成21,2009,6月,94.7,-7.9,94.6,133.9,77.4,161.2,95,89.5,104.2,148.6,126.7,65.3,119.2,54.4,66.3,85.2
５人以上,平成21,2009,7月,99.1,-7.8,105.4,129.4,78.2,169.4,108.5,99.1,109.9,148.6,114.9,79.2,111.5,49.4,57.1,85.2
５人以上,平成21,2009,8月,92,-9.1,79.2,126.6,76.6,151.2,97,91.8,105.6,135.2,109.9,79.2,107.7,34.2,53.4,80.7
５人以上,平成21,2009,9月,93.8,-7.5,83.8,138.5,79.8,164.5,97,95.5,102.8,129.5,101,73.6,103.8,45.6,57.1,83.7
５人以上,平成21,2009,9月（対前年同月比（％））,－,－,84.6,-8.6,-16.7,2.7,2.5,2.2,-15.3,-12.9,-0.9,12.5,-2.4,-17.1,36,-10.7
30人以上,平成15,2003,年平均,101.3,－,402.7,89.7,97.8,69.1,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,115.3,13.8,147,74.9,102.3,108.2,－,－,－,－,－,－,－,－,－,－
