規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,514444,483919,442484,41435,30525,148000,146808,139707,7101,1192
100～499人,449103,413449,379406,34043,35654,119714,117504,112277,5227,2210
100人以上,478647,445312,407927,37385,33335,129070,127197,121350,5847,1873
30～99人,413893,384624,361015,23609,29269,100716,98548,94872,3676,2168
５～29人,355449,339051,322646,16405,16398,89464,88901,86569,2332,563
30人以上,456597,424647,391953,32694,31950,114613,112589,107849,4740,2024
５人以上,429362,401599,373291,28308,27763,102138,100839,97294,3545,1299
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年３月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
