規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1235713,475646,437423,38223,760067,175794,153978,145308,8670,21816
100～499人,994997,404492,373344,31148,590505,141287,122524,116364,6160,18763
100人以上,1103852,436669,402321,34348,667183,153623,133769,126712,7057,19854
30～99人,843548,377465,356599,20866,466083,115709,101973,97513,4460,13736
５～29人,625855,339022,324349,14673,286833,102341,93448,90019,3429,8893
30人以上,1016035,416695,386895,29800,599340,133741,117095,111400,5695,16646
５人以上,911763,395938,370181,25757,515825,117986,105230,100672,4558,12756
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
