規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.3,154,137.8,16.2,13.8,88.3,85.1,3.2
100～499人,18.3,154.1,138.7,15.4,14.3,92.7,87.9,4.8
100人以上,18.3,154.1,138.3,15.8,14.1,91.1,86.9,4.2
30～99人,18.3,152.2,139.5,12.7,13.6,76.9,73.4,3.5
５～29人,18.3,150.1,139.9,10.2,12.9,77.8,75,2.8
30人以上,18.3,153.4,138.7,14.7,13.8,83.6,79.7,3.9
５人以上,18.3,152.5,139,13.5,13.4,80.8,77.4,3.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（確報）,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
