規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.8,17.6,151.1,157,139,136.5,140.9,127.6,14.6,16.1,11.4
100～499人,18.6,19.1,17.9,152.7,160.5,139.5,138,143.6,128.5,14.7,16.9,11
100人以上,18.6,19,17.8,152,158.8,139.2,137.4,142.3,128.1,14.6,16.5,11.1
30～99人,18.3,19.2,17.2,142.8,154.9,125.4,133,142.8,118.8,9.8,12.1,6.6
５～29人,18.4,19.5,17,139.2,156,118.6,131.7,145.9,114.2,7.5,10.1,4.4
30人以上,18.5,19,17.5,148.7,157.5,133.7,135.8,142.5,124.4,12.9,15,9.3
５人以上,18.4,19.2,17.3,145.7,157.1,128.3,134.5,143.5,120.7,11.2,13.6,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
