規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,599658,-13.5,87.9,91.6,1.43,-0.11
30人以上,鉱業,1538095,18.1,100,100,3.34,0.97
30人以上,建設業,664135,2.5,90,94.1,1.85,0.35
30人以上,製造業,726485,-16.2,83.3,93.8,1.25,-0.25
30人以上,電気・ガス・熱供給・水道業,1023541,-12.9,100,100,2.44,0.21
30人以上,情報通信業,743897,-0.5,87.4,92.9,1.79,-0.01
30人以上,運輸業,495025,-14.9,91.9,87.4,1.35,-0.11
30人以上,卸売・小売業,561464,-4.4,83.9,92.6,1.43,0.1
30人以上,金融・保険業,894510,-23.8,88.7,90.7,1.99,-0.37
30人以上,不動産業,536294,-16.6,84.6,91.8,1.39,-0.34
30人以上,"飲食店,宿泊業",131537,-47.4,83.6,86.8,0.47,-0.08
30人以上,"医療,福祉",431180,-21.2,96.8,89.6,1.43,-0.35
30人以上,"教育,学習支援業",786727,-15.6,100,100,1.98,-0.41
30人以上,複合サービス事業,747425,14.8,100,100,2.08,0.09
30人以上,サービス業（他に分類されないもの）,483325,-21.6,85.3,87.9,1.33,-0.15
30～99人,調査産業計,448332,-9.2,86.5,88.2,1.38,-0.08
30～99人,鉱業,1419670,50,100,100,3.37,1.17
30～99人,建設業,761610,46.5,88.9,86.8,1.93,0.47
30～99人,製造業,352681,-30.4,77.6,84.2,1.04,-0.29
30～99人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,情報通信業,544194,-5.1,88,89.4,1.71,-0.05
30～99人,運輸業,524636,3.9,93.8,88.1,1.38,-0.11
30～99人,卸売・小売業,409683,10.8,80.8,87.4,1.42,0.21
30～99人,金融・保険業,765828,-10.3,88.5,90.1,2.01,-0.4
30～99人,不動産業,475367,-21.6,80.6,80.5,1.31,-0.42
30～99人,"飲食店,宿泊業",75455,-24.9,82.9,83.5,0.43,-0.04
30～99人,"医療,福祉",281814,-29.1,100,100,1.41,-0.34
30～99人,"教育,学習支援業",726982,-15.9,100,100,1.98,-0.39
30～99人,複合サービス事業,593960,0,100,100,1.99,1.99
30～99人,サービス業（他に分類されないもの）,444454,-27.8,82.9,81.8,1.29,-0.14
100～499人,調査産業計,578008,-12.9,92.6,92.3,1.55,-0.19
100～499人,鉱業,1654597,20.6,100,100,3.29,0.42
100～499人,建設業,559278,-11.4,93.8,98.6,1.59,-0.05
100～499人,製造業,641805,-24.2,98.7,96.9,1.57,-0.43
100～499人,電気・ガス・熱供給・水道業,1036501,3.5,100,100,2.25,0.03
100～499人,情報通信業,768677,13.8,83,89.4,1.94,0.14
100～499人,運輸業,397320,-21.9,87.8,85.7,1.23,-0.15
100～499人,卸売・小売業,500104,-19.3,95.8,97.1,1.41,-0.19
100～499人,金融・保険業,808343,-14.7,89,88.3,1.88,-0.27
100～499人,不動産業,546781,-0.9,96.3,97.8,1.61,-0.12
100～499人,"飲食店,宿泊業",293358,-49.5,94.4,96,1.03,-0.84
100～499人,"医療,福祉",518126,-8.3,83.3,79.6,1.49,-0.45
100～499人,"教育,学習支援業",872909,-17.9,100,100,1.91,-0.63
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,496911,-13.5,93.8,92.2,1.46,-0.11
500人以上,調査産業計,841050,-19,93.6,95.7,1.95,-0.32
500人以上,鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,678214,-24.5,100,100,1.44,-0.52
500人以上,製造業,1046029,-12.5,97.7,98.2,2.38,-0.23
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,838047,-10.1,96.6,98.6,2.09,-0.26
500人以上,運輸業,782481,-27.1,89.5,92.3,2.06,0.01
500人以上,卸売・小売業,1057644,-3.8,97.6,98.3,2,-0.35
500人以上,金融・保険業,1054109,-30.6,92.3,92.8,2.17,-0.43
500人以上,不動産業,630501,-34.8,100,100,1.51,-0.46
500人以上,"飲食店,宿泊業",252755,-37.2,100,100,0.95,-0.47
500人以上,"医療,福祉",612438,-25.7,79.2,87.8,1.67,-0.41
500人以上,"教育,学習支援業",824385,-13.7,100,100,2.19,-0.3
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,510767,-28.8,83.9,89.2,1.39,-0.58
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
