規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,94.3,－,119.6,92.7,103.2,90.1,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,95.5,1.3,109,93.8,103.8,108.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,4.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.6,0.6,111.8,96.8,100.5,98.8,99.3,100.1,103.2,100.4,108.1,93.2,105,100.3,101.1,98.3
５人以上,平成19,2007,年平均,100.7,0.1,104.4,99.5,99.6,99.2,104,102.5,101.4,101.5,110.1,90.2,105.1,97.3,97.1,100.1
５人以上,平成20,2008,年平均,99.6,-1.1,112.3,96.6,99.3,101.4,102.7,105.3,102.8,104.2,98.2,83.3,104.2,92.8,110.1,99.4
５人以上,平成20,2008,3月,88,1.1,77,87.4,78.9,78.1,92.2,89.3,92.2,89.3,84.5,94.1,96.8,86.6,85.6,86.4
５人以上,平成20,2008,4月,83.3,-1.5,75,83,81.6,77.4,85.7,91,88.1,76.3,86.6,75.8,88.2,76.2,89.7,84.1
５人以上,平成20,2008,5月,82.4,-1.1,74.1,81.4,78.5,72.4,93.6,92.8,85.5,76.6,89.3,76.5,84.4,68,87.3,82.8
５人以上,平成20,2008,6月,158,-3.1,289.4,132.7,170.9,214.7,159.9,142.3,160.5,199.6,140.6,86.5,159.8,177.7,211.3,144.7
５人以上,平成20,2008,7月,105.8,-2.4,92.7,113.9,114.5,76.1,107.4,126.7,115.4,83.7,117.7,87.2,109.1,78.5,99.9,108.4
５人以上,平成20,2008,8月,80.8,-1.1,78,82.7,77.5,73.3,83.6,92.9,85.7,75.5,80.8,74.8,84.5,68.6,82.6,82.7
５人以上,平成20,2008,9月,82.7,3,81,81.3,76.6,77,85.8,84.7,99.2,74.7,79.4,70,84.5,67,81.1,82.1
５人以上,平成20,2008,10月,79.1,-2.1,76.7,80.4,78.6,79.5,82.4,84.3,80.1,75.3,77.8,70.1,86.5,71.4,95.5,82.2
５人以上,平成20,2008,11月,83.9,-5,91.1,86,83,78.7,85,96,87,77.9,79.5,75.1,89.2,69.4,82.4,90.4
５人以上,平成20,2008,12月,180.4,-3.3,260.3,165.1,192.4,240.3,187.6,192,167.3,195.3,176.7,132.1,195.3,209.6,227.5,179.1
５人以上,平成21,2009,1月,81.7,-3.1,81,83,78.7,76.3,92.5,90.8,81.6,77.6,84.5,79.2,93.3,67.9,88.4,83.1
５人以上,平成21,2009,2月,80.5,-5.7,79.2,83.1,76.9,77,84.8,86.4,82.9,85.3,79,73.5,86.2,70,83.9,82.4
５人以上,平成21,2009,3月,84,-4.5,84.9,85.5,82.4,80,89.1,87.4,84.1,81.4,83.2,77.2,94.3,80.6,87.1,86.6
５人以上,平成21,2009,3月（対前年同月比（％））,－,－,10.3,-2.2,4.4,2.4,-3.4,-2.1,-8.8,-8.8,-1.5,-18,-2.6,-6.9,1.8,0.2
30人以上,平成15,2003,年平均,95.1,－,106.4,93.1,105.9,91.5,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,97.1,2.1,109.4,91.7,105.2,111.8,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.6,0.6,101.9,97.3,100.9,99.4,99.1,102.8,103.6,100.6,104.7,91.8,100.8,101,100.3,98.5
30人以上,平成19,2007,年平均,101.6,1,95.2,100.6,100.5,100.4,103.4,103.2,102.1,102,101.8,90.2,105.9,101.4,96.2,101.4
30人以上,平成20,2008,年平均,101.8,0.2,102.4,100,100.4,103.9,103.4,107.9,105.2,105.6,98.5,81.6,102.9,98,115.3,100.7
30人以上,平成20,2008,3月,89,3,70.2,90.1,77.1,79.5,89.7,90.6,93.3,90.2,81.3,106.9,97.8,93.1,87.6,87.2
30人以上,平成20,2008,4月,83.2,-0.5,68.4,82.6,79.5,78,84.9,93,87.1,76.2,81.2,73.3,86.2,79.8,96.2,84.9
30人以上,平成20,2008,5月,82.4,0.1,67.7,81.6,76.9,73.5,93.1,96.7,84.6,76.8,89,72.8,82.1,70.5,91.9,83.5
30人以上,平成20,2008,6月,172.6,-2.9,263.9,148,188,226.2,168.5,148.6,184.6,205.8,150,85.1,163.1,195.1,229,151.4
30人以上,平成20,2008,7月,103.6,-1.8,84.6,115.4,111.8,74.6,107.2,124.4,109.6,82.6,117,83.4,105.5,79,95.1,107.4
30人以上,平成20,2008,8月,80.4,0.8,71.1,83,75.3,74.6,83.6,96.9,85.8,75.1,76.4,69.4,79.4,71.1,87.4,81.7
30人以上,平成20,2008,9月,83.6,5.3,73.8,80.7,75.1,78.6,85.9,87.8,106,74.6,80,63,80,69.6,85.7,82.1
30人以上,平成20,2008,10月,78.8,-1.1,69.9,80.2,77.6,80.7,81.5,86.2,78.8,74.9,76.1,61,82.8,74.1,102.4,82.4
30人以上,平成20,2008,11月,84.7,-4.1,83.2,87.2,82.7,80.6,83.5,99.9,88.5,77.9,77.8,69.8,85.2,71.6,86,92.7
30人以上,平成20,2008,12月,191.9,-2,237.4,186.1,205.1,249.1,196.5,197.6,177,197.1,192.9,137.3,202.2,225.8,231.5,185.7
30人以上,平成21,2009,1月,80.6,-4.4,73.9,82.4,76.2,77.6,92.5,93.7,79.1,77.1,82.1,65.8,90.1,69.1,94.6,80.5
30人以上,平成21,2009,2月,80.1,-6.6,72.2,84.3,74.4,78.3,84.1,88,82.9,85.7,74.3,64.6,82.1,72.1,89.7,81.1
30人以上,平成21,2009,3月,83.7,-6,77.5,87.2,81.2,81.5,88.2,89.6,84,80,76.9,68.1,91.1,83.9,90.5,85.6
30人以上,平成21,2009,3月（対前年同月比（％））,－,－,10.4,-3.2,5.3,2.5,-1.7,-1.1,-10,-11.3,-5.4,-36.3,-6.9,-9.9,3.3,-1.8
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年３月分,,,,,,,,,,,,,,,,,,,
第15表　実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,
実質賃金指数 ＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数※ ×１００　　※東京都区部消費者物価指数は「帰属家賃を除く総合」である。,,,,,,,,,,,,,,,,,,,
調査対象事業所の抽出替えに伴い、指数を平成21年１月分確報公表時に過去に遡って改訂しています（賃金指数、労働時間指数は平成19年以降、常用雇用指数は平成17年以降）。,,,,,,,,,,,,,,,,,,,
