規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.4,17.1,148.6,154.8,136.2,133.5,138,124.4,15.1,16.8,11.8
100～499人,18.2,18.6,17.5,148.7,156.2,134.9,134.4,139.8,124.5,14.3,16.4,10.4
100人以上,18.1,18.5,17.3,148.6,155.5,135.5,134,139,124.5,14.6,16.5,11
30～99人,17.9,18.8,16.6,139.1,151.5,120.7,129.1,139.1,114.2,10,12.4,6.5
５～29人,18,19.3,16.5,137.2,156,114.5,129.1,145.1,109.8,8.1,10.9,4.7
30人以上,18,18.6,17,145.1,154.1,129.5,132.2,139,120.3,12.9,15.1,9.2
５人以上,18,18.8,16.8,142.6,154.7,124,131.2,140.8,116.5,11.4,13.9,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
