規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,161.4,145.9,15.5,14.4,91.1,87.9,3.2
100～499人,19.5,163.7,147.6,16.1,14.7,94.2,90.4,3.8
100人以上,19.5,162.6,146.8,15.8,14.6,93.1,89.5,3.6
30～99人,19.6,162.5,149.6,12.9,14.1,82.1,78.6,3.5
５～29人,20,162.6,152.9,9.7,13.5,80.9,78.5,2.4
30人以上,19.5,162.7,147.8,14.9,14.3,87.2,83.7,3.5
５人以上,19.7,162.7,149.2,13.5,13.9,84.2,81.2,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
