規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6928153,4183470,2744683,132097,72166,59931,98988,50722,48266,6961262,4204914,2756348,21.4,11.8,36.1
５人以上,鉱業,2058,1626,432,24,23,1,41,37,4,2041,1612,429,0.3,0.2,0.5
５人以上,建設業,324387,271447,52940,3230,2773,457,2709,2614,95,324908,271606,53302,3.9,1.7,15.2
５人以上,製造業,698796,515263,183533,10308,7389,2919,7433,5659,1774,701671,516993,184678,7.2,3.2,18.3
５人以上,電気・ガス・熱供給・水道業,34835,30228,4607,95,95,0,143,113,30,34787,30210,4577,2.1,1.7,5.4
５人以上,情報通信業,726704,530930,195774,3256,1742,1514,7282,4598,2684,722678,528074,194604,3.6,1.3,10.1
５人以上,運輸業,361904,290974,70930,7710,5794,1916,5806,3524,2282,363808,293244,70564,13.2,10,26.6
５人以上,卸売・小売業,1482419,850510,631909,37220,23300,13920,22051,11084,10967,1497588,862726,634862,25,12.3,42.4
５人以上,金融・保険業,364419,217341,147078,5599,3978,1621,3330,2100,1230,366688,219219,147469,5.6,1.5,11.7
５人以上,不動産業,128598,87928,40670,1979,1512,467,1054,558,496,129523,88882,40641,16.1,7.5,35
５人以上,"飲食店,宿泊業",604974,287671,317303,22205,10734,11471,17473,7455,10018,609706,290950,318756,67.7,53.3,80.8
５人以上,"医療,福祉",510291,130386,379905,8374,1944,6430,7806,2203,5603,510859,130127,380732,29.8,25.7,31.1
５人以上,"教育,学習支援業",379419,199007,180412,6453,2753,3700,4544,2081,2463,381328,199679,181649,34.9,27,43.5
５人以上,複合サービス事業,58024,37911,20113,1791,1279,512,59,41,18,59756,39149,20607,22,10.8,43.3
５人以上,サービス業（他に分類されないもの）,1251325,732248,519077,23853,8850,15003,19257,8655,10602,1255921,732443,523478,17.9,10.4,28.6
30人以上,調査産業計,4729848,2970635,1759213,83607,47481,36126,59493,31102,28391,4753962,2987014,1766948,15.6,8.2,28.1
30人以上,鉱業,2058,1626,432,24,23,1,41,37,4,2041,1612,429,0.3,0.2,0.5
30人以上,建設業,197986,172289,25697,1394,1110,284,1852,1757,95,197528,171642,25886,2,0.8,10.3
30人以上,製造業,528457,397804,130653,8583,6132,2451,5592,4308,1284,531448,399628,131820,5.6,2.7,14.3
30人以上,電気・ガス・熱供給・水道業,31725,27721,4004,80,80,0,143,113,30,31662,27688,3974,1.6,1.5,2.4
30人以上,情報通信業,627182,461477,165705,1986,1105,881,5988,3714,2274,623180,458868,164312,3.4,1.2,9.5
30人以上,運輸業,287597,231440,56157,5035,3792,1243,4279,3030,1249,288353,232202,56151,11.7,9.9,18.9
30人以上,卸売・小売業,867462,517242,350220,24711,17357,7354,9601,4146,5455,882572,530453,352119,16.6,4.8,34.4
30人以上,金融・保険業,308231,187026,121205,4945,3384,1561,2449,1499,950,310727,188911,121816,4.8,1.6,9.8
30人以上,不動産業,80233,54628,25605,696,396,300,748,376,372,80181,54648,25533,18.9,10,37.9
30人以上,"飲食店,宿泊業",220580,105352,115228,7406,3018,4388,7237,2783,4454,220749,105587,115162,59.8,44.8,73.5
30人以上,"医療,福祉",350675,91954,258721,6012,1501,4511,5705,1650,4055,350982,91805,259177,26.9,24.7,27.7
30人以上,"教育,学習支援業",288609,162735,125874,4737,1918,2819,3118,1367,1751,290228,163286,126942,28.6,22.8,36.1
30人以上,複合サービス事業,43139,31958,11181,1532,1279,253,59,41,18,44612,33196,11416,21.6,12.3,48.7
30人以上,サービス業（他に分類されないもの）,895914,527383,368531,16466,6386,10080,12681,6281,6400,899699,527488,372211,17.4,10.9,26.6
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
