規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1047369,475120,434605,40515,572249,161988,153834,146890,6944,8154
100～499人,771549,401163,371940,29223,370386,134891,125007,119556,5451,9884
100人以上,895871,434498,400185,34313,461373,144642,135381,129392,5989,9261
30～99人,657820,378042,357723,20319,279778,104493,100443,97188,3255,4050
５～29人,471690,336644,322385,14259,135046,95746,91923,89621,2302,3823
30人以上,815634,415469,385873,29596,400165,123972,117394,112812,4582,6578
５人以上,724283,394533,369010,25523,329750,109754,104564,101131,3433,5190
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年６月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
