規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.2,－,108.8,96,105.6,87.1,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,98.9,1.7,106.6,96.9,106.2,105.4,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,99.7,-0.3,101.5,98.5,99.3,99.7,99.3,100,102.2,97.1,107.9,92.8,103.1,100.6,100.8,96.9
５人以上,平成19,2007,年平均,99.6,-0.1,102.4,99.4,98.5,99.3,101.6,101.7,101.3,98.8,107.3,87.5,106.2,96.8,99.5,98.1
５人以上,平成20,2008,年平均,99.4,-0.2,105.4,98.7,99.5,102.5,104.1,103.9,103.1,100,101.1,79.7,106.8,91.9,109.6,98.7
５人以上,平成20,2008,7月,99.4,0.4,104.7,98.7,100.4,101.8,103,105,102.4,100.6,100.1,78.5,107.4,91.7,109.1,99.2
５人以上,平成20,2008,8月,99,-0.1,110.6,97.5,99.1,101.7,104,103.3,103.2,100.6,99,77.9,106.2,90.5,107.9,98.7
５人以上,平成20,2008,9月,99,0,107,98.8,98.9,107.1,105.2,103,102.2,100.4,98.9,76.6,107.1,90.1,106.4,99.2
５人以上,平成20,2008,10月,98.9,-0.7,108.2,98.4,99.4,104.5,104.3,103.4,101.3,100,99.3,76.8,107.8,92,117.6,99.5
５人以上,平成20,2008,11月,98.5,-1,106.5,99.2,99.1,109,103.3,104.1,101.8,99,98.9,79.2,106.2,89.3,107,98.9
５人以上,平成20,2008,12月,98.3,-1.3,107.6,100,99.1,103.1,104.8,105,100.6,98.8,99.3,78.4,106.3,90.1,108.3,99
５人以上,平成21,2009,1月,97.8,-1.4,113.8,99,98.5,104.8,104.2,102.5,100,98.3,97.8,79.6,106.5,90.8,110.4,98.3
５人以上,平成21,2009,2月,98.8,-1.2,110.7,99.5,98.3,104.8,106,103.5,103,97.4,97.1,79.6,107,90.5,108,99.3
５人以上,平成21,2009,3月,99.8,-0.6,110,101.1,99,107,107.4,102.6,103.1,100.2,97.5,82.6,107.1,92.8,108.4,100.3
５人以上,平成21,2009,4月,100.2,-0.7,111.3,101.1,99.1,108.3,105.9,104.6,105,100.8,98.5,83,109.7,92.7,115.6,99.2
５人以上,平成21,2009,5月,97.2,-2.4,109.9,95.2,96.2,104,103.3,102.9,100.3,96.6,98.8,78.1,107.9,92.1,110.1,96.9
