規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,166.9,150.7,16.2,14.1,89.5,87,2.5
100～499人,20.2,167.6,153,14.6,15,94.9,91.2,3.7
100人以上,20.2,167.2,151.9,15.3,14.7,93,89.7,3.3
30～99人,20.7,168.8,157.6,11.2,13.8,78.7,76,2.7
５～29人,21.4,172.8,162.8,10,14.2,82.6,80.4,2.2
30人以上,20.4,167.8,153.9,13.9,14.2,85.7,82.7,3
５人以上,20.6,169.1,156.2,12.9,14.2,84.1,81.5,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
