規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.4,153.7,137.7,16,14.4,86.6,81,5.6
100～499人,18.6,156,141.2,14.8,15.2,101,97.1,3.9
100人以上,18.5,155,139.7,15.3,14.9,95.8,91.3,4.5
30～99人,18.4,152.8,140.9,11.9,13.9,83.4,80.1,3.3
５～29人,18.3,149.6,139.5,10.1,12.9,77.7,74.9,2.8
30人以上,18.5,154.3,140.2,14.1,14.5,90.2,86.2,4
５人以上,18.4,153,140,13,13.6,83.9,80.5,3.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（暫定版）,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
