規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.4,160.6,147.1,13.5,13.9,84.9,81.6,3.3
５人以上,鉱業,17.6,137.9,128,9.9,7.7,43.5,43,0.5
５人以上,建設業,20,168.5,154.5,14,16.5,107.3,106.1,1.2
５人以上,製造業,19,158.2,147.5,10.7,17.4,125.8,116.1,9.7
５人以上,電気・ガス・熱供給・水道業,18.1,155,136.9,18.1,15.2,106.1,105.9,0.2
５人以上,情報通信業,18.8,162.6,141.6,21,15.6,98.9,94.7,4.2
５人以上,運輸業,20.4,179.7,155.2,24.5,17.5,111.2,98.6,12.6
５人以上,卸売・小売業,19.9,160.5,150.9,9.6,15.2,93.1,90.2,2.9
５人以上,金融・保険業,19.3,159.8,144,15.8,15.7,105.1,101.3,3.8
５人以上,不動産業,19.9,162.6,149.9,12.7,17.2,95.4,92.3,3.1
５人以上,"飲食店,宿泊業",21.5,176.1,165.2,10.9,13.1,79.1,75.6,3.5
５人以上,"医療,福祉",19.1,154,144.6,9.4,12.7,70.3,68.8,1.5
５人以上,"教育,学習支援業",17.8,134.1,128.1,6,9.5,51.4,50.5,0.9
５人以上,複合サービス事業,19.1,162.1,149.5,12.6,14.7,95.9,93.1,2.8
５人以上,サービス業（他に分類されないもの）,19.2,158.6,145,13.6,14.5,90.4,87.5,2.9
30人以上,調査産業計,19.1,158.9,144.2,14.7,14.1,86.6,82.7,3.9
30人以上,鉱業,17.6,137.9,128,9.9,7.7,43.5,43,0.5
30人以上,建設業,19.5,167.5,150,17.5,18.3,124.6,123.8,0.8
30人以上,製造業,18.8,157.5,145.7,11.8,17.7,139.5,124.5,15
30人以上,電気・ガス・熱供給・水道業,17.7,152.9,133.7,19.2,15.2,104.4,104.1,0.3
30人以上,情報通信業,18.7,162,140.4,21.6,16.5,104.7,99.4,5.3
30人以上,運輸業,20.1,176.7,153,23.7,16.1,114.6,102.3,12.3
30人以上,卸売・小売業,19.6,159.2,148.6,10.6,16.5,102.9,98.9,4
30人以上,金融・保険業,19.2,160.4,143.9,16.5,15,100.4,97.4,3
30人以上,不動産業,19.8,162.8,147.5,15.3,17.5,96.5,93.1,3.4
30人以上,"飲食店,宿泊業",21,175.5,162.5,13,13.3,78.5,74.5,4
30人以上,"医療,福祉",18.8,153.5,142.5,11,12.5,68.9,67.3,1.6
30人以上,"教育,学習支援業",17.6,131.6,125.7,5.9,8.2,45.4,44.4,1
30人以上,複合サービス事業,18.9,160.3,148.3,12,14.6,96,94,2
30人以上,サービス業（他に分類されないもの）,18.8,155.5,141.3,14.2,14.5,88.5,85.5,3
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
