規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,94.3,－,119.6,92.7,103.2,90.1,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,95.5,1.3,109,93.8,103.8,108.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,4.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.6,0.6,111.8,96.8,100.5,98.8,99.3,100.1,103.2,100.4,108.1,93.2,105,100.3,101.1,98.3
５人以上,平成19,2007,年平均,101.3,0.7,103.9,98.7,99,98,103.4,101.4,102.9,100.3,110.4,93.5,106.6,98.8,96.9,100
５人以上,平成20,2008,年平均,101.3,0,110.6,94.2,97.5,97.7,101,102,107.4,100.8,98.9,93.9,109.1,97.1,109.4,99
５人以上,平成20,2008,1月,85.2,3.9,74,79.9,77.7,71.3,82.6,83.1,88,105.3,85.1,85.6,88.3,70.4,92.1,84.7
５人以上,平成20,2008,2月,86.4,5,73.6,82.2,78,72.1,83.8,83.9,88.1,115.9,80.8,84.5,89.3,73.1,84.4,83.3
５人以上,平成20,2008,3月,89.1,2.2,76.1,85.6,77.8,75.9,91,87,95.4,86.9,85,103.3,100.3,89.7,85.2,86.2
５人以上,平成20,2008,4月,84.5,-0.4,74.1,81.1,80.4,75.1,84.5,88.5,91.4,74.1,87.1,83.7,91.6,79.2,89.2,83.9
５人以上,平成20,2008,5月,83.6,0,73.2,79.5,77.3,70.1,92.2,90.1,89,74.3,89.8,85.2,87.9,70.9,86.8,82.6
５人以上,平成20,2008,6月,160.5,-2,285.5,129.4,168.1,207.6,157.3,138,167.4,193.1,141.6,97,166.8,185.5,210,144.2
５人以上,平成20,2008,7月,107.6,-1.3,91.4,110.8,112.5,73.4,105.6,122.5,120.6,80.8,118.6,98.4,114.1,82.2,99.3,108
５人以上,平成20,2008,8月,82.2,0,76.8,80.5,76.1,70.5,82.1,89.8,89.8,72.8,81.4,85,88.6,72,82,82.4
５人以上,平成20,2008,9月,84.2,4.1,79.7,78.9,75.1,73.9,84.2,81.7,104.2,71.9,80,80.2,88.8,70.5,80.5,81.8
５人以上,平成20,2008,10月,80.7,-1,75.4,78,77,76.3,80.8,81.2,84.4,72.3,78.5,80.9,91.2,75.3,94.8,81.9
５人以上,平成20,2008,11月,85.6,-3.9,89.6,83.3,81.2,75.4,83.3,92.2,91.8,74.7,80.2,87.2,94.3,73.4,81.8,90
５人以上,平成20,2008,12月,184.2,-2.2,255.6,159.6,188.2,229.7,183.5,184.1,177.1,186.8,178.3,154.5,206.9,222.3,225.6,178.3
５人以上,平成21,2009,1月,83.4,-2.1,80,79.8,76.1,72.7,80.7,81.9,88.2,86.3,81,97.6,90.9,71.9,88.8,84.2
５人以上,平成21,2009,1月（対前年同月比（％））,－,－,8.1,-0.1,-2.1,2,-2.3,-1.4,0.2,-18,-4.8,14,2.9,2.1,-3.6,-0.6
30人以上,平成15,2003,年平均,95.1,－,106.4,93.1,105.9,91.5,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,97.1,2.1,109.4,91.7,105.2,111.8,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.6,0.6,101.9,97.3,100.9,99.4,99.1,102.8,103.6,100.6,104.7,91.8,100.8,101,100.3,98.5
30人以上,平成19,2007,年平均,102.2,1.6,94.7,99.2,100.1,98.8,102.8,101.8,103.8,100.8,102.4,97,108.6,103.4,96.3,101
30人以上,平成20,2008,年平均,103.5,1.3,100.9,95.9,99.2,99.2,101.7,103.7,110.5,102.1,100.3,104.5,111,104.1,115.9,99.5
30人以上,平成20,2008,1月,85.2,6.6,67.4,78.8,76.3,71.7,80.5,83.4,86.3,108.5,84.2,97,87.7,73.9,100.1,83.4
30人以上,平成20,2008,2月,86.8,7.4,67.1,80.2,76.5,72.6,82.4,83.7,85.2,122,77.5,89.7,90,77.4,90.7,83.2
30人以上,平成20,2008,3月,90,3.9,69.5,87.3,76.4,76.7,88.5,87.9,97,87.8,82.4,129.1,103.8,97.5,87.9,86.4
30人以上,平成20,2008,4月,84.2,0.5,67.6,79.8,78.7,75.1,83.7,89.9,90.8,74,82.4,89.9,91.9,83.7,96.6,84.1
30人以上,平成20,2008,5月,83.6,1.2,66.8,78.6,76.1,70.6,91.7,93.3,88.4,74.5,90.3,90.6,87.9,74.3,92.3,82.7
30人以上,平成20,2008,6月,175.2,-1.8,260.4,142.4,185.9,216.7,165.9,143,193.3,199.1,152.6,107.5,175.3,206.2,230.1,149.9
30人以上,平成20,2008,7月,105.3,-0.8,83.5,110.7,110.5,71.4,105.4,119.5,115.2,79.7,119.1,107,113.9,83.9,95.6,106.2
30人以上,平成20,2008,8月,81.7,1.7,70,79.5,74.5,71.1,82.1,92.8,90.4,72.4,77.9,90.6,86.1,75.7,87.9,80.7
30人以上,平成20,2008,9月,85.1,6.4,72.7,77.1,74.1,74.7,84.3,83.9,111.9,71.8,81.6,83.4,87.2,74.3,86.2,81.1
30人以上,平成20,2008,10月,80.3,0,68.8,76.5,76.5,76.6,79.9,82.2,83.5,71.9,77.7,82.2,90.5,79.4,102.9,81.3
30人以上,平成20,2008,11月,86.4,-3,81.7,83,81.5,76.3,81.9,95.1,94,74.7,79.5,95.6,93.6,77,86.5,91.4
30人以上,平成20,2008,12月,195.9,-1,233.1,176.6,202.1,235.2,192.3,187.7,188.7,188.6,197.3,191.3,223.1,243.7,232.9,183
30人以上,平成21,2009,1月,82,-3.8,72.9,77.5,74,73,79.5,82.5,86.8,87.6,77.3,101.1,88.9,74.6,96.9,81.1
30人以上,平成21,2009,1月（対前年同月比（％））,－,－,8.2,-1.6,-3,1.8,-1.2,-1.1,0.6,-19.3,-8.2,4.2,1.4,0.9,-3.2,-2.8
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（暫定版）,,,,,,,,,,,,,,,,,,,
第15表　実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,
実質賃金指数 ＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数×１００,,,,,,,,,,,,,,,,,,,
