規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,20.2,20.6,19.3,164.4,170.5,152,149.8,154.3,140.7,14.6,16.2,11.3
100～499人,19.9,20.4,19.1,162.6,170.8,148.4,148.4,154.6,137.8,14.2,16.2,10.6
100人以上,20.1,20.5,19.2,163.4,170.6,149.9,149,154.4,139,14.4,16.2,10.9
30～99人,19.3,20.2,17.9,149.9,163.6,129.7,139.6,151,122.7,10.3,12.6,7
５～29人,18.8,19.9,17.5,142.6,159,122.5,135.1,149,118,7.5,10,4.5
30人以上,19.8,20.4,18.7,158.5,168.1,141.9,145.6,153.2,132.5,12.9,14.9,9.4
５人以上,19.5,20.3,18.3,153.5,165.5,134.9,142.3,152,127.3,11.2,13.5,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
