規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.1,17.6,146.1,151.5,135,131.3,135.3,123.2,14.8,16.2,11.8
100～499人,18.1,18.5,17.4,148.6,155.9,133.9,135.3,140.9,124,13.3,15,9.9
100人以上,18.1,18.4,17.4,147.6,154.1,134.4,133.7,138.6,123.7,13.9,15.5,10.7
30～99人,17.6,18.2,16.6,140.4,149.9,122.7,130,137.5,116.1,10.4,12.4,6.6
５～29人,16.6,17.6,15.4,127,142.7,107.6,119.2,132.5,102.8,7.8,10.2,4.8
30人以上,17.9,18.3,17.1,144.9,152.6,129.9,132.3,138.2,120.8,12.6,14.4,9.1
５人以上,17.5,18.1,16.4,139.1,149.7,121.2,128.1,136.5,113.8,11,13.2,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（暫定版）,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
