規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,96.5,－,100.8,93.2,92.7,94.5,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.2,2.8,66.4,84.5,87.9,91,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,101.8,1.8,81.4,100.1,100.2,98.3,104.6,103.3,102,99.4,102.7,99.9,101.3,100.4,100.8,103.3
５人以上,平成19,2007,年平均,104.1,2.2,81.6,98.7,98.6,92.7,108.5,104.3,103.6,101.5,106,107,105.3,104.2,104.7,106.1
５人以上,平成20,2008,年平均,106.6,2.5,82.1,98.1,99,88.5,114,107.2,105.3,100.5,108.3,113.6,111.4,108.4,102.3,108
５人以上,平成20,2008,4月,106.7,2.2,81.1,99.8,100.2,89.6,116.1,107.8,104.4,102.2,109.4,109.1,111.3,109.3,102.5,108.7
５人以上,平成20,2008,5月,107,2.4,80.9,98.8,100,88.5,116,106.6,104.8,102.6,110,112.4,111.2,109.6,102.5,108.4
５人以上,平成20,2008,6月,107,2.4,80.8,98.6,99.5,85.3,115.1,107.2,105.4,101.3,109.7,113.6,111.8,109.9,102.4,108.4
５人以上,平成20,2008,7月,107.2,2.3,81.4,99,99.6,84.3,114.8,107.4,105.6,100.9,109.7,114.5,112.7,110.6,102.9,108.3
５人以上,平成20,2008,8月,106.7,2,82,98.6,99.6,82.8,114.2,107.1,105,100,108.9,113.4,112.7,109.8,102.7,107.9
５人以上,平成20,2008,9月,107.1,2.6,83.9,98.6,99.1,88,114.5,107.8,106.8,99.5,109.2,113.1,113,109.1,102.1,107.9
５人以上,平成20,2008,10月,107.4,2.6,84.4,98.2,98.7,87.2,115.6,107.3,106.8,99.5,108.4,115.6,113.2,111.1,101.8,108.2
５人以上,平成20,2008,11月,107.8,2.6,84.4,97.7,98.3,94.7,115.5,107.4,107.9,99.5,108.6,118.6,113.3,109.6,102,108.1
５人以上,平成20,2008,12月,108.1,2.9,84.9,97.8,98.3,94.2,115.7,108.1,108,99.3,108.5,119,113.5,109.4,102.5,109.3
５人以上,平成21,2009,1月,107.9,3,71.2,97.6,96.5,94.5,115.6,107.7,107.7,99.5,108.7,120.7,114.4,109.6,102.4,108.6
