規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,487679,475544,433800,41744,12135,141410,139658,132606,7052,1752
100～499人,425208,408305,374581,33724,16903,116600,115873,109937,5936,727
100人以上,453154,438384,401073,37311,14770,125782,124676,118327,6349,1106
30～99人,400536,385628,363454,22174,14908,101258,99374,95506,3868,1884
５～29人,340830,336537,320358,16179,4293,87889,87671,84890,2781,218
30人以上,435281,420464,388294,32170,14817,113356,111855,106763,5092,1501
５人以上,409785,397809,369956,27853,11976,100768,99901,95951,3950,867
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
