"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","全体",,"658","94","305","214","28","17"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性（計）","248","30","124","79","10","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 18～29歳","23","3","11","8","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 30～39歳","35","5","18","11","0","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 40～49歳","41","8","18","9","6","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 50～59歳","49","7","26","15","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 60～69歳","39","4","22","13","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 70歳以上","60","3","28","23","2","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","男性 無回答","1","0","1","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性（計）","400","64","177","130","18","11"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 18～29歳","28","4","9","11","2","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 30～39歳","65","8","23","28","5","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 40～49歳","95","20","47","24","3","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 50～59歳","82","15","40","25","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 60～69歳","55","10","27","15","2","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 70歳以上","75","7","31","27","4","6"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","性・年代別","無回答","10","0","4","5","0","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","自営業主・家族従業","92","14","45","29","2","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","会社員・団体職員・公務員","280","41","128","92","14","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","アルバイト・パートタイマー","58","8","24","18","7","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","家事専業","94","15","46","30","1","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","学生","20","3","7","8","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","無職","83","8","42","25","3","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","その他","26","5","12","9","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","職業別","無回答","5","0","1","3","0","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","居住地区別","芝地区","107","16","44","39","4","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","居住地区別","麻布地区","140","25","70","37","6","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","居住地区別","赤坂地区","88","11","51","20","3","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","居住地区別","高輪地区","155","28","66","52","6","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","居住地区別","芝浦港南地区","164","14","73","65","8","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","居住地区別","無回答","4","0","1","1","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","住居形態別","持家（一戸建）","95","10","51","29","2","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","住居形態別","持家（マンション）","302","42","151","101","6","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","住居形態別","借家（一戸建）","7","1","4","1","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","住居形態別","民間の賃貸マンション・アパート","171","34","65","53","14","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(14)文化芸術に触れられる機会が充実している","住居形態別","都営住宅・区営住宅・区立住宅","28","0","10","12","2","4"
