"年月[西暦]","調査項目","設問","港区の環境","回答者の居住地区","そう思う[人]","ややそう思う[人]","どちらともいえない[人]","あまり思わない[人]","思わない[人]","無回答[人]","そう思う[%]","ややそう思う[%]","どちらともいえない[%]","あまり思わない[%]","思わない[%]","無回答[%]"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","芝地区","4","9","20","24","9","2","5.9","13.2","29.4","35.3","13.2","2.9"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","麻布地区","5","16","32","12","18","3","5.8","18.6","37.2","14.0","20.9","3.5"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","赤坂地区","2","17","15","14","9","2","3.4","28.8","25.4","23.7","15.3","3.4"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","高輪地区","4","20","39","33","19","4","3.4","16.8","32.8","27.7","16.0","3.4"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","芝浦港南地区","3","13","28","21","17","1","3.6","15.7","33.7","25.3","20.5","1.2"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","無回答","0","4","4","3","2","2","0.0","26.7","26.7","20.0","13.3","13.3"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","芝地区","2","2","17","24","21","2","2.9","2.9","25.0","35.3","30.9","2.9"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","麻布地区","2","13","24","21","25","1","2.3","15.1","27.9","24.4","29.1","1.2"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","赤坂地区","0","7","18","20","12","2","0.0","11.9","30.5","33.9","20.3","3.4"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","高輪地区","1","11","32","44","28","3","0.8","9.2","26.9","37.0","23.5","2.5"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","芝浦港南地区","2","10","16","27","27","1","2.4","12.0","19.3","32.5","32.5","1.2"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","無回答","1","1","4","6","2","1","6.7","6.7","26.7","40.0","13.3","6.7"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","芝地区","1","9","14","27","14","3","1.5","13.2","20.6","39.7","20.6","4.4"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","麻布地区","4","12","22","23","23","2","4.7","14.0","25.6","26.7","26.7","2.3"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","赤坂地区","2","13","13","13","17","1","3.4","22.0","22.0","22.0","28.8","1.7"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","高輪地区","8","25","22","30","30","4","6.7","21.0","18.5","25.2","25.2","3.4"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","芝浦港南地区","6","16","21","21","19","0","7.2","19.3","25.3","25.3","22.9","0.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","無回答","1","3","2","6","2","1","6.7","20.0","13.3","40.0","13.3","6.7"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","芝地区","5","10","14","23","13","3","7.4","14.7","20.6","33.8","19.1","4.4"
