"科目","金額[百万円]"
"年度","2021"
"期間（自）","20210401"
"期間（至）","20220331"
"経常費用","227201"
"経常費用 業務費用","108931"
"経常費用 業務費用 人件費","22584"
"経常費用 業務費用 人件費 職員給与費","17912"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1093"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1166"
"経常費用 業務費用 人件費 その他","2412"
"経常費用 業務費用 物件費等","73686"
"経常費用 業務費用 物件費等 物件費","57199"
"経常費用 業務費用 物件費等 維持補修費","4004"
"経常費用 業務費用 物件費等 減価償却費","12480"
"経常費用 業務費用 物件費等 その他","2"
"経常費用 業務費用 その他の業務費用","12661"
"経常費用 業務費用 その他の業務費用 支払利息","15"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","751"
"経常費用 業務費用 その他の業務費用 その他","11895"
"経常費用 移転費用","118270"
"経常費用 移転費用 補助金等","90525"
"経常費用 移転費用 社会保障給付","26285"
"経常費用 移転費用 その他","1461"
"経常収益","22403"
"経常収益 使用料及び手数料","9155"
"経常収益 その他","13248"
"純経常行政コスト","-204798"
"臨時損失","405"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","394"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","10"
"臨時利益","1984"
"臨時利益 資産売却益","1974"
"臨時利益 その他","10"
"純行政コスト","-203219"

"連結会計財務書類（行政コスト計算書）(令和3年4月1日から令和4年3月31日)","Ver202203"
