 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,924 ","14,691,387 ","5,457 ","41,533,163 ",423 ,"10,761,619 ","1,193 ","30,404,131 ","1,501 ","3,929,768 ","4,264 ","11,129,032 "
公共計,"1,023 ","5,483,066 ","2,844 ","15,290,577 ",168 ,"2,312,340 ",471 ,"6,527,165 ",855 ,"3,170,726 ","2,373 ","8,763,412 "
ドルフィン,5 ,"3,241 ",16 ,"9,963 ",-,-,-,-,5 ,"3,241 ",16 ,"9,963 "
芝浦ふ頭,29 ,"80,057 ",92 ,"238,804 ",-,-,-,-,29 ,"80,057 ",92 ,"238,804 "
芝浦物揚場,25 ,"11,500 ",65 ,"29,900 ",-,-,-,-,25 ,"11,500 ",65 ,"29,900 "
日の出ふ頭,5 ,"4,899 ",22 ,"16,856 ",-,-,-,-,5 ,"4,899 ",22 ,"16,856 "
竹芝ふ頭,158 ,"391,838 ",446 ,"1,106,765 ",-,-,-,-,158 ,"391,838 ",446 ,"1,106,765 "
品川岸壁,151 ,"1,735,506 ",428 ,"4,870,204 ",78 ,"791,154 ",223 ,"2,236,557 ",73 ,"944,352 ",205 ,"2,633,647 "
 品川コンテナ,78 ,"740,899 ",226 ,"2,133,190 ",74 ,"736,427 ",214 ,"2,113,420 ",4 ,"4,472 ",12 ,"19,770 "
 品川外貿,4 ,"54,727 ",9 ,"123,137 ",4 ,"54,727 ",9 ,"123,137 ",-,-,-,-
 品川内貿,69 ,"939,880 ",193 ,"2,613,877 ",-,-,-,-,69 ,"939,880 ",193 ,"2,613,877 "
晴海ふ頭,1 ,"3,987 ",7 ,"39,906 ",-,-,1 ,"22,472 ",1 ,"3,987 ",6 ,"17,434 "
月島ふ頭,25 ,"7,527 ",69 ,"20,729 ",-,-,-,-,25 ,"7,527 ",69 ,"20,729 "
漁業基地,-,-,1 ,986 ,-,-,-,-,-,-,1 ,986 
