（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,043,291",98.9%,"2,823,758",100.3%,100.0%
1,アメリカ,"244,259",101.7%,"707,390",104.9%,25.1%
2,中国,"234,484",81.2%,"585,976",78.6%,20.8%
,(香港),"38,123",89.4%,"95,606",95.9%,3.4%
3,ベトナム,"76,344",128.3%,"236,533",173.8%,8.4%
4,タイ,"73,575",91.8%,"220,367",110.7%,7.8%
5,台湾,"61,264",120.1%,"154,164",115.9%,5.5%
6,オランダ,"42,398",110.0%,"113,429",97.1%,4.0%
7,インドネシア,"41,784",124.3%,"108,491",114.7%,3.8%
8,マレーシア,"39,802",94.4%,"103,099",100.8%,3.7%
9,韓国,"34,954",83.3%,"98,806",87.4%,3.5%
10,インド,"32,956",101.9%,"84,910",87.5%,3.0%
11,ドイツ,"25,216",122.2%,"61,397",107.2%,2.2%
12,フィリピン,"17,187",88.4%,"53,743",105.1%,1.9%
13,シンガポール,"20,669",94.8%,"51,641",96.1%,1.8%
14,イギリス,"13,567",119.4%,"32,961",98.7%,1.2%
15,カナダ,"11,978",154.3%,"29,897",81.6%,1.1%
16,ロシア,"5,739",76.1%,"18,063",86.6%,0.6%
17,アラブ首長国,"7,477",114.8%,"18,048",110.5%,0.6%
18,ブラジル,"7,067",107.3%,"17,362",108.9%,0.6%
19,オーストラリア,"4,243",118.4%,"14,013",134.3%,0.5%
20,フランス,"5,398",99.7%,"13,694",94.1%,0.5%
,その他,"42,930",118.9%,"99,774",108.0%,3.5%
,,,,,,
