 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,令和2年(2020年),,,,,,平成31年(2019年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,739","13,720,981",417,"10,253,345","1,322","3,467,636","1,894","14,030,164",429,"10,478,863","1,465","3,551,301"
,91.8%,97.8%,97.2%,97.8%,90.2%,97.6%,,,,,,
２月　,"1,794","13,120,795",353,"9,389,167","1,441","3,731,628","1,883","13,944,490",399,"10,319,664","1,484","3,624,826"
,95.3%,94.1%,88.5%,91.0%,97.1%,102.9%,,,,,,
３月　,"1,924","14,691,387",423,"10,761,619","1,501","3,929,768","2,134","15,813,494",459,"11,612,037","1,675","4,201,457"
,90.2%,92.9%,92.2%,92.7%,89.6%,93.5%,,,,,,
４月　,-,-,-,-,-,-,"2,010","16,083,222",454,"12,224,020","1,556","3,859,202"
,-,-,-,-,-,-,,,,,,
５月　,-,-,-,-,-,-,"1,846","14,410,844",403,"10,728,467","1,443","3,682,377"
,-,-,-,-,-,-,,,,,,
６月　,-,-,-,-,-,-,"1,987","15,346,069",453,"11,406,060","1,534","3,940,009"
,-,-,-,-,-,-,,,,,,
７月　,-,-,-,-,-,-,"2,143","15,772,021",451,"11,565,837","1,692","4,206,184"
,-,-,-,-,-,-,,,,,,
８月　,-,-,-,-,-,-,"1,872","14,905,283",440,"11,290,169","1,432","3,615,114"
,-,-,-,-,-,-,,,,,,
９月　,-,-,-,-,-,-,"1,862","15,124,712",438,"11,397,149","1,424","3,727,563"
,-,-,-,-,-,-,,,,,,
１０月　,-,-,-,-,-,-,"1,879","14,419,132",420,"10,640,918","1,459","3,778,214"
,-,-,-,-,-,-,,,,,,
１１月　,-,-,-,-,-,-,"1,961","15,001,374",452,"11,165,399","1,509","3,835,975"
,-,-,-,-,-,-,,,,,,
１２月　,-,-,-,-,-,-,"1,911","15,061,038",449,"11,233,657","1,462","3,827,381"
,-,-,-,-,-,-,,,,,,
累計,"5,457","41,533,163","1,193","30,404,131","4,264","11,129,032","23,382","179,911,843","5,247","134,062,240","18,135","45,849,603"
,92.3%,94.9%,92.7%,93.8%,92.2%,97.8%,,,,,,
前年累計,"5,911","43,788,148","1,287","32,410,564","4,624","11,377,584",,,,,,
増(－)減,-454,"-2,254,985",-94,"-2,006,433",-360,"-248,552",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ン以上　　,1,443,1,443,518,"244,997",518,"244,997",193,"96,266",154,"76,817",17,"8,477",22,"10,972",10,"4,350",10,"4,350",-,-,172,"85,695",400トン以上　　
内航船　　,1,443,1,443,518,"244,997",518,"244,997",193,"96,266",154,"76,817",17,"8,477",22,"10,972",10,"4,350",10,"4,350",-,-,172,"85,695",内航船　　
外航船　　,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航船　　
500トン以上　　,2,"1,348",2,"1,348",-,-,-,-,2,"1,200",-,-,-,-,2,"1,200",31,"19,030",31,"19,030",-,-,1,683,500トン以上　　
内航船　　,2,"1,348",2,"1,348",-,-,-,-,2,"1,200",-,-,-,-,2,"1,200",31,"19,030",31,"19,030",-,-,-,-,内航船　　
外航船　　,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,683,外航船　　
700トン以上　　,3,"2,958",3,"2,958",-,-,-,-,366,"275,280",233,"174,517",34,"25,466",99,"75,297",-,-,-,-,-,-,611,"457,639",700トン以上　　
内航船　　,3,"2,958",3,"2,958",-,-,-,-,366,"275,280",233,"174,517",34,"25,466",99,"75,297",-,-,-,-,-,-,611,"457,639",内航船　　
外航船　　,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,外航船　　
"1,000トン以上　　",-,-,-,-,-,-,-,-,229,"272,922",133,"148,694",69,"77,142",27,"47,086",21,"30,113",21,"30,113",-,-,153,"171,663","1,000トン以上　　"
内航船　　,-,-,-,-,-,-,-,-,203,"227,434",133,"148,694",69,"77,142",1,"1,598",21,"30,113",21,"30,113",-,-,152,"169,936",内航船　　
外航船　　,-,-,-,-,-,-,-,-,26,"45,488",-,-,-,-,26,"45,488",-,-,-,-,-,-,1,"1,727",外航船　　
"2,000トン以上　　",4,"10,312",4,"10,312",-,-,-,-,78,"194,678",18,"44,831",2,"4,986",58,"144,861",12,"29,964",-,-,12,"29,964",70,"174,411","2,000トン以上　　"
内航船　　,4,"10,312",4,"10,312",-,-,-,-,60,"149,476",18,"44,831",2,"4,986",40,"99,659",12,"29,964",-,-,12,"29,964",69,"171,680",内航船　　
外航船　　,-,-,-,-,-,-,-,-,18,"45,202",-,-,-,-,18,"45,202",-,-,-,-,-,-,1,"2,731",外航船　　
"3,000トン以上　　",6,"23,922",6,"23,922",-,-,-,-,6,"23,016",-,-,-,-,6,"23,016",-,-,-,-,-,-,3,"10,905","3,000トン以上　　"
内航船　　,6,"23,922",6,"23,922",-,-,-,-,3,"11,961",-,-,-,-,3,"11,961",-,-,-,-,-,-,-,-,内航船　　
外航船　　,-,-,-,-,-,-,-,-,3,"11,055",-,-,-,-,3,"11,055",-,-,-,-,-,-,3,"10,905",外航船　　
"4,000トン以上　　",2,"8,878",2,"8,878",-,-,-,-,18,"82,589",-,-,-,-,18,"82,589",-,-,-,-,-,-,1,"4,865","4,000トン以上　　"
